trait_name,trait_value,Species Count
plant_growth_substrate,hemiepiphyte (1); lithophyte (1),1
plant_growth_substrate,hemiepiphyte (1),1
plant_growth_substrate,epiphyte (3),1
plant_growth_substrate,epiphyte (2); lithophyte (2); terrestrial (2),1
flower_colour,pink (1); red_brown (1); yellow_orange (1),1
flower_colour,pink (1); red_brown (1); white_cream (1); yellow_orange (1); yellow,1
plant_height,0.02 (V),1
plant_height,0.02 (1); 20 (1),1
plant_height,0.02 (1); 10 (1),1
plant_height,0.02 (1); 0.6 (1),1
plant_height,0.02 (1); 0.5 (1),1
plant_height,0.02 (1); 0.1 (1); 0.4 (1),1
plant_height,0.02 (1); 0.0517 (1); 0.1 (1); 0.15 (1); 0.2 (1); 0.3 (1),1
plant_height,0.019 (1); 0.0939 (1); 0.15 (1); 0.2 (1); 0.3 (1),1
plant_height,0.01 (1); 10 (1),1
plant_height,0.01 (1); 0.5 (1),1
plant_height,0.01 (1); 0.35 (1); 0.6 (1); 0.9 (1); 1.5 (1); 2 (1); 2.5 (1),1
plant_height,0.01 (1); 0.09 (1),1
plant_height,0.01 (1); 0.05 (1),1
plant_height,0.01 (1); 0.02 (1),1
plant_height,0.01 (1),1
plant_height,0.005 (1); 5 (1),1
plant_height,0.05 (1); 0.08 (1); 0.1 (1); 0.25 (1); 0.3 (1); 1 (1),1
plant_height,0.05 (1); 0.07 (1); 0.15 (1); 0.2 (1),1
plant_height,0.04 (1); 0.36 (1); 0.4 (1); 0.5 (1),1
plant_height,0.038 (1),1
plant_height,0.035 (2); 0.3 (2),1
plant_height,0.03 (1); 0.4 (1); 0.6 (1); 1 (1),1
plant_height,0.03 (1); 0.3 (1); 0.5 (1),1
plant_height,0.03 (1); 0.07 (1),1
plant_height,0.03 (1); 0.06 (1); 0.3 (1),1
plant_height,0.03 (1); 0.06 (1); 0.07 (1); 0.1 (1); 0.14 (1); 0.15 (1); 0.25 (1),1
plant_height,0.03 (1); 0.05 (1); 0.1 (1); 0.25 (1),1
plant_height,0.03 (1); 0.04 (1); 0.1 (1); 0.15 (1),1
plant_height,0.03 (1),1
plant_height,0.025 (1); 0.088046342 (1); 0.15 (1); 0.25 (1); 0.35 (1),1
plant_height,0.02 (V); 0.2 (V),1
plant_height,0.02 (V); 0.1 (V),1
plant_height,0.05 (1); 0.5 (1); 0.8 (1),1
plant_height,0.05 (1); 0.45 (1); 0.5 (1),1
plant_height,0.05 (1); 0.4 (1); 1 (1); 1.5 (1),1
plant_height,0.05 (1); 0.4 (1); 0.5 (1); 1 (1); 1.2 (1),1
plant_height,0.05 (1); 0.3 (1); 0.5 (1); 0.7 (1),1
plant_height,0.05 (1); 0.3 (1); 0.4 (1); 0.45 (1); 0.6 (1),1
plant_height,0.05 (1); 0.2 (1); 0.6 (1); 0.8 (1); 0.9 (1),1
plant_height,0.05 (1); 0.2 (1); 0.4 (1),1
plant_height,0.05 (1); 0.18 (1),1
plant_height,0.05 (1); 0.17 (1),1
plant_height,0.05 (1); 0.15 (1); 0.4 (1),1
plant_height,0.05 (1); 0.12 (1); 0.15 (1),1
plant_height,0.05 (1); 0.1 (1); 0.3 (1); 1 (1),1
plant_height,0.05 (1); 0.1 (1); 0.25 (1),1
plant_height,0.05 (1); 0.1 (1); 0.15 (1); 0.18 (1),1
plant_height,0.05 (1); 0.1 (1); 0.15 (1),1
plant_height,0.08 (1); 0.6 (1),1
plant_height,0.08 (1); 0.25 (1); 0.3 (1),1
plant_height,0.08 (1); 0.24 (1),1
plant_height,0.08 (1); 0.15 (1),1
plant_height,0.08 (1); 0.1 (1),1
plant_height,0.07 (V); 0.7 (V),1
plant_height,0.07 (1); 0.15 (1); 0.9 (1),1
plant_height,0.07 (1); 0.1 (1); 0.2 (1); 0.35 (1),1
plant_height,0.06 (1); 0.5 (1),1
plant_height,0.06 (1); 0.2 (1); 0.3 (1),1
plant_height,0.06 (1); 0.15 (1),1
plant_height,0.06 (1); 0.08 (1),1
plant_height,0.05 (V); 0.4 (V),1
plant_height,0.05 (V),1
plant_height,0.05 (1); 1 (1),1
plant_height,0.05 (1); 0.5 (1); 2 (1),1
plant_height,0.1 (1); 0.4 (1); 0.6 (1); 0.7 (1),1
plant_height,0.1 (1); 0.4 (1),1
plant_height,0.1 (1); 0.3 (1); 0.75 (1); 0.8 (1),1
plant_height,0.1 (1); 0.3 (1); 0.5 (1),1
plant_height,0.1 (1); 0.2 (1); 1.5 (1),1
plant_height,0.1 (1); 0.2 (1); 0.75 (1); 0.9 (1),1
plant_height,0.1 (1); 0.2 (1); 0.5 (1),1
plant_height,0.1 (1); 0.2 (1); 0.3 (1); 0.5 (1); 0.9 (1),1
plant_height,0.1 (1); 0.15 (1); 0.5 (1),1
plant_height,0.1 (1); 0.15 (1); 0.3 (1); 0.5 (1); 0.6 (1),1
plant_height,0.1 (1); 0.15 (1),1
plant_height,0.1 (1); 0.14 (1); 0.25 (1); 0.4 (1),1
plant_height,0.095 (1); 0.2 (1); 0.5 (1),1
plant_height,0.08 (V); 0.4 (V),1
plant_height,0.08 (V); 0.15 (V),1
plant_height,0.08 (V); 0.12 (V),1
fruit_colour,brown (V); purple (V),1
fruit_colour,brown (V); green (V),1
flower_colour,blue_purple (V); green (V),1
flower_colour,blue_purple (3),1
flower_colour,blue_purple (2); white_cream (2),1
plant_height,0.1 (1); 1 (1),1
plant_height,0.1 (1); 0.8 (1),1
plant_height,0.1 (1); 0.55 (1),1
plant_height,0.1 (1); 0.5 (1); 1 (1); 2 (1),1
plant_height,0.1 (1); 0.5 (1); 0.75 (1),1
plant_height,0.1 (1); 0.5 (1); 0.7 (1); 1 (1); 1.1 (1),1
plant_height,0.1 (1); 0.5 (1); 0.6 (1),1
plant_height,0.1 (1); 0.47 (1); 0.5 (1),1
plant_height,0.1 (1); 0.452 (1); 1.15 (1),1
plant_height,0.1 (1); 0.4 (1); 0.7 (1); 1 (1),1
plant_height,0.1 (1); 0.4 (1); 0.7 (1),1
plant_height,0.1 (2); 0.2 (2),1
plant_height,0.1 (1); 1.2 (1),1
flower_colour,green (1); pink (1); red_brown (1); yellow_orange (1),1
flower_colour,green (1); pink (1); red_brown (1); white_cream (1); yellow_orange (1),1
flower_colour,golden; yellow; yellow_orange (1),1
flower_colour,cream; red; white_cream (1),1
flower_colour,blue_purple (V); white_cream (V),1
fruit_colour,green (V); red (V),1
fruit_colour,green (V); purple (V),1
fruit_colour,green (V); grey (V); white (V),1
fruit_colour,green (3); purple (3),1
fruit_colour,green (3),1
fruit_colour,green (1); yellow (1),1
fruit_colour,green (1); red (1),1
fruit_colour,green (1); pink (1); red (1),1
fruit_colour,brown (V); red (V); yellow (V),1
plant_height,0.15 (1); 0.4 (1),1
plant_height,0.15 (1); 0.3 (1); 0.5 (1); 0.6 (1),1
plant_height,0.15 (1); 0.3 (1); 0.4 (1); 0.5 (1); 0.7 (1),1
plant_height,0.15 (1); 0.3 (1); 0.4 (1); 0.5 (1),1
plant_height,0.15 (1); 0.25 (1),1
plant_height,0.15 (1); 0.2 (1); 0.25 (1),1
plant_height,0.14 (1); 1.2 (1); 1.3 (1); 1.4 (1),1
plant_height,0.14 (1); 0.15 (1),1
plant_height,0.13 (V); 0.5 (V); 0.6 (V); 0.65 (V),1
plant_height,0.12 (V); 1.2 (V),1
plant_height,0.12 (V); 0.5 (V),1
plant_height,0.12 (1); 12 (1),1
plant_height,0.1 (V); 0.4 (V),1
plant_height,0.1 (V); 0.2 (V); 0.3 (V),1
plant_height,0.1 (V); 0.15 (V),1
plant_height,0.1 (3); 0.3 (3),1
plant_height,0.2 (1); 0.25 (1); 0.3 (1); 0.5 (1); 0.8 (1),1
plant_height,0.2 (1); 0.25 (1),1
plant_height,0.18 (V),1
plant_height,0.18 (1); 0.7 (1); 1.2 (1); 1.3 (1),1
plant_height,0.18 (1); 0.33 (1); 0.4 (1); 0.44 (1),1
plant_height,0.1779 (1); 0.3 (1); 0.38 (1); 0.4 (1); 0.423 (1); 0.5 (1); 0.6 (1); 0.8 (1),1
plant_height,0.17 (V),1
plant_height,0.17 (1); 0.225472497 (1); 0.25 (1); 0.4 (1),1
plant_height,0.16 (V),1
plant_height,0.15 (V); 0.6 (V),1
plant_height,0.15 (V); 0.4 (V); 0.53 (V),1
plant_height,0.15 (V); 0.3 (V),1
plant_height,0.15 (V); 0.2 (V); 0.3 (V); 0.5 (V); 0.6 (V); 1 (V),1
plant_height,0.15 (V); 0.2 (V),1
plant_height,0.15 (2),1
plant_height,0.15 (1); 0.5 (1); 0.6 (1); 1.05 (1),1
plant_height,0.2 (1); 1 (1); 2.5 (1),1
plant_height,0.2 (1); 1 (1); 1.6 (1),1
plant_height,0.2 (1); 0.9 (1); 1 (1); 1.4 (1),1
plant_height,0.2 (1); 0.9 (1); 1 (1),1
plant_height,0.2 (1); 0.6 (1); 1 (1),1
plant_height,0.2 (1); 0.6 (1); 0.8 (1); 1 (1),1
plant_height,0.2 (1); 0.6 (1); 0.8 (1),1
plant_height,0.2 (1); 0.6 (1); 0.7 (1); 0.8 (1); 1 (1),1
plant_height,0.2 (1); 0.6 (1),1
plant_height,0.2 (1); 0.4 (1); 0.6 (1); 0.7 (1); 0.8 (1),1
plant_height,0.2 (1); 0.3 (1); 0.8 (1); 1 (1); 1.5 (1),1
plant_height,0.2 (1); 0.3 (1); 0.5 (1),1
plant_height,0.2 (1); 0.3 (1); 0.45 (1); 0.7 (1); 1.15 (1),1
plant_height,0.2 (1); 0.3 (1); 0.43 (1); 0.45 (1); 0.54 (1),1
plant_height,0.2 (1); 0.3 (1); 0.35 (1); 0.4 (1); 0.5 (1),1
plant_height,0.2 (1); 0.25 (1); 0.4 (1); 0.45 (1); 0.5 (1),1
flower_colour,blue_purple (1); pink (1); yellow_orange (1),1
plant_height,0.25 (1); 0.4 (1),1
plant_height,0.25 (1); 0.3 (1); 1 (1); 1.2 (1); 1.5 (1),1
plant_height,0.25 (1); 0.3 (1); 0.8 (1); 0.9 (1); 1 (1); 1.5 (1),1
plant_height,0.24 (V),1
plant_height,0.23 (V); 0.45 (V),1
plant_height,0.2 (V); 1.5 (V),1
plant_height,0.2 (V); 0.6 (V); 1 (V),1
plant_height,0.2 (V); 0.6 (V),1
plant_height,0.2 (V); 0.5 (V); 1 (V); 1.2 (V); 2 (V),1
plant_height,0.2 (2); 0.6 (2),1
plant_height,0.2 (2); 0.5 (2),1
plant_height,0.2 (2); 0.4 (2),1
plant_height,0.2 (2),1
plant_height,0.2 (1); 2 (1),1
plant_height,0.2 (1); 1.5 (1); 2 (1),1
plant_height,0.3 (1); 0.5 (1); 0.7 (1),1
plant_height,0.3 (1); 0.4 (1); 0.6 (1); 1.2 (1),1
plant_height,0.3 (1); 0.4 (1); 0.5 (1); 0.6 (1),1
plant_height,0.3 (1); 0.35 (1); 0.5 (1); 0.75 (1); 0.8 (1); 0.9 (1); 1 (1),1
plant_height,0.3 (1); 0.35 (1); 0.5 (1),1
plant_height,0.3 (1); 0.32 (1),1
plant_height,0.25 (V); 1.05 (V),1
plant_height,0.25 (V); 0.6 (V),1
plant_height,0.25 (1); 1 (1); 1.3 (1); 1.35 (1),1
flower_colour,blue_purple (2); pink (2); white_cream (2),1
flower_colour,blue_purple (2),1
flower_colour,blue_purple (1); yellow_orange (1); yellow,1
flower_colour,blue_purple (1); white_cream (1); white,1
flower_colour,blue_purple (1); white_cream (1); pink,1
flower_colour,blue_purple (1); white_cream (1); green; pink,1
flower_colour,blue_purple (1); white_cream (1); green,1
flowering_time,nnnnnnnnyyyy (1); nnnnyyyyyynn (1),1
plant_height,0.3 (1); 1.28 (1); 1.3 (1); 2 (1),1
plant_height,0.3 (1); 1 (1); 2 (1),1
plant_height,0.3 (1); 1 (1); 1.5 (1); 2 (1),1
plant_height,0.3 (1); 1 (1); 1.4 (1); 1.5 (1); 2 (1),1
plant_height,0.3 (1); 1 (1); 1.3 (1),1
plant_height,0.3 (1); 1 (1); 1.2 (1); 1.8 (1); 2.5 (1),1
plant_height,0.3 (1); 0.9 (1); 1 (1),1
plant_height,0.3 (1); 0.8 (1); 30 cm,1
plant_height,0.3 (1); 0.7 (1); 0.75 (1); 0.8 (1),1
plant_height,0.3 (1); 0.6 (1); 1.5 (1); 2 (1),1
plant_height,0.3 (1); 0.6 (1); 1 (1); 1.3 (1),1
plant_height,0.3 (1); 0.6 (1),1
plant_height,0.3 (1); 0.5151 (1); 0.6 (1); 0.8 (1); 0.95 (1); 1 (1); 1.5 (1); 1m; to 85 cm,1
plant_height,0.3 (1); 0.5 (1); 0.9 (1); 1 (1),1
plant_height,0.3 (1); 0.5 (1); 0.9 (1),1
plant_height,0.3 (2); 1.5 (2); 2 (2),1
plant_height,0.3 (1); 2.5 (1),1
plant_height,0.3 (1); 1.8 (1),1
plant_height,0.3 (1); 1.5 (1),1
fruit_colour,brown (4); red (4); yellow (4),1
fruit_colour,brown (4); green (4); yellow (4),1
fruit_colour,brown (3); grey (3),1
fruit_colour,brown (3); green (3); yellow (3),1
flowering_time,nnnnnnnnyyyy (1); yyyyynnnnnyy (1); yyyyynyyyyyy (1),1
flowering_time,nnnnnnnnyyyy (1); yyyyynnnnnnn (1),1
flowering_time,nnnnnnnnyyyy (1); yyynnnnnnyyy (1); yyyyyyyyyyyy (1),1
flowering_time,nnnnnnnnyyyy (1); yynnnnnnyyyy (1); yyynnnnnnyyy (1),1
flowering_time,nnnnnnnnyyyy (1); ynnyyynnnyny (1); ynnyyynnnyyy (1),1
flowering_time,nnnnnnnnyyyy (1); ynnnnnnyyyyy (1),1
flowering_time,nnnnnnnnyyyy (1); ynnnnnnnnyyy (1),1
flowering_time,nnnnnnnnyyyy (1); ynnnnnnnnnnn (1),1
plant_height,0.4 (1); 0.5 (1); 0.6 (1),1
plant_height,0.35 (1); 0.9 (1); 1.2 (1); 1.5 (1),1
plant_height,0.32 (1); 1.2 (1); 1.6 (1),1
plant_height,0.3 (V); 3 (V),1
plant_height,0.3 (V); 1.5 (V),1
flower_colour,blue_purple (1); pink (1); red_brown (1); white_cream (1),1
flower_colour,blue_purple (1); pink (1); red_brown (1),1
flower_colour,blue_purple (1); pink,1
flower_colour,blue_purple (1); green (1); white_cream (1); white,1
plant_height,0.3 (V); 1.2 (V),1
plant_height,0.3 (V); 1 (V),1
plant_height,0.3 (4); 0.6 (4),1
plant_height,0.3 (3); 0.8 (3),1
plant_height,0.3 (3); 0.6 (3),1
plant_height,0.3 (2); 3 (2),1
plant_height,0.3 (2); 1.6 (2),1
plant_height,0.5 (1); 0.9 (1),1
plant_height,0.5 (1); 0.6 (1); 1.5 (1); 2 (1); 2.8 (1),1
plant_height,0.5 (1); 0.6 (1),1
plant_height,0.4 (V); 3 (V),1
plant_height,0.4 (V); 0.6 (V),1
plant_height,0.4 (2),1
plant_height,0.4 (1); 1 (1); 1.5 (1); 1.53 (1); 2 (1),1
plant_height,0.4 (1); 1 (1),1
plant_height,0.4 (1); 0.9 (1); 1.49 (1); 1.5 (1),1
plant_height,0.4 (1); 0.9 (1); 1 (1); 1.25 (1); 2 (1); 80 cm,1
plant_height,0.4 (1); 0.9 (1); 1 (1),1
plant_height,0.4 (1); 0.7 (1); 0.9 (1); 1.5 (1),1
plant_height,0.4 (1); 0.62 (1),1
plant_height,0.4 (1); 0.6 (1); 1 (1),1
plant_height,0.4 (1); 0.6 (1); 0.65 (1); 1.3 (1); 1.35 (1),1
plant_height,0.4 (1); 0.6 (1),1
plant_height,0.5 (V); 1.5 (V),1
plant_height,0.5 (V); 0.9 (V),1
plant_height,0.5 (V); 0.7 (V),1
plant_height,0.5 (V); 0.55 (V); 0.7 (V),1
plant_height,0.5 (4),1
plant_height,0.5 (2); 4 (2); 5 (2),1
plant_height,0.5 (2); 3 (2),1
plant_height,0.5 (2); 2 (2),1
plant_height,0.5 (2); 1.5 (2),1
plant_height,0.5 (2),1
plant_height,0.5 (1); 3 (1); 5 (1),1
plant_height,0.5 (1); 2 (1); 3 (1),1
plant_height,0.5 (1); 1 (1); 2 (1); 2.5 (1),1
plant_height,0.5 (1); 1 (1); 1.5 (1),1
plant_height,0.5 (1); 1 (1); 1.2 (1); 1.3 (1); 1.5 (1),1
plant_height,0.5 (1); 0.9 (1); 2 (1),1
plant_height,0.6 (2); 1 (2),1
plant_height,0.6 (1); 2.1 (1),1
plant_height,0.6 (1); 2 (1),1
plant_height,0.6 (1); 1.5 (1),1
plant_height,0.6 (1); 1.2 (1),1
plant_height,0.6 (1); 0.8 (1),1
plant_height,0.5 (V); 2 (V),1
plant_height,0.5 (V); 1.5 (V); 2 (V),1
flower_colour,blue; white; blue_purple (1); green (1); white_cream (1),1
flower_colour,blue; violet; white; blue_purple (1); red_brown (1); yellow_orange (1),1
flower_colour,blue; mauve; blue_purple (1); white_cream (1),1
flower_colour,blue; blue_purple (1); green (1); red_brown (1); white_cream (1); yellow_orange (1),1
flower_colour,blue; blue_purple (1),1
flower_colour,Salmon; pink; red; white; red_brown (1),1
flower_colour,Greenish; cream; mauve; pink; red; white; white_cream (1); yellow_orange (1),1
flower_colour,Bronze; Brown; Khaki; black; crimson; pink; purple; red; white; blue_purple (1); red_brown (1),1
plant_height,0.8 (1); 1.5 (1),1
plant_height,0.8 (1); 1 (1); 2 (1); 2.5 (1); 3 (1); 6 (1),1
plant_height,0.8 (1); 1 (1),1
plant_height,0.75 (V); 1.2 (V),1
plant_height,0.7 (V); 0.8 (V); 1.2 (V),1
plant_height,0.7 (1); 2 (1),1
plant_height,0.7 (1); 1.8 (1),1
plant_height,0.7 (1); 1.4 (1); 1.5 (1); 2 (1),1
plant_height,0.7 (1); 0.8 (1); 1.5 (1),1
fire_time_from_fire_to_peak_flowering,36 (1); 72 (1),1
fire_time_from_fire_to_peak_flowering,24 (1); 60 (1),1
fire_time_from_fire_to_peak_flowering,24 (1); 48 (1),1
fire_time_from_fire_to_fruiting,96 (1),1
plant_height,0.65 (V); 1 (V),1
plant_height,0.65 (V),1
plant_height,0.6 (V); 0.7 (V),1
plant_height,1 (1); 2 (1); 2.6 (1),1
plant_height,1 (1); 1.7 (1),1
plant_height,1 (1); 1.5 (1); 2.5 (1); 3 (1); 4 (1),1
plant_height,1 (1); 1.5 (1); 2 (1); 3 (1),1
plant_height,1 (1); 1.45 (1); 1.5 (1); 2 (1),1
plant_height,1 (1); 1.3 (1),1
plant_height,1 (1); 1.2 (1); 1.5 (1); 2 (1),1
plant_height,1 (1); 1.2 (1),1
plant_height,0.9 (V); 1.6 (V),1
plant_height,0.9 (V); 1.2 (V),1
plant_height,0.9 (2),1
plant_height,0.9 (1); 2 (1); 2.2 (1),1
plant_height,0.9 (1); 1.2 (1),1
plant_height,0.9 (1),1
plant_height,0.8 (V); 1.3 (V),1
plant_height,0.8 (1); 1.5 (1); 80 cm,1
fruit_colour,brown (1); pink (1); purple (1); yellow (1),1
fruit_colour,brown (1); orange (1),1
fruit_colour,brown (1); grey (1); red (1),1
fruit_colour,brown (1); grey (1); red,1
fruit_colour,blue (2),1
plant_height,1 (2); 5 (2),1
plant_height,1 (2); 4 (2),1
plant_height,1 (2); 3 (2),1
plant_height,1 (2); 2.5 (2),1
plant_height,1 (2); 2 (2); 3 (2); 4 (2),1
plant_height,1 (2); 2 (2),1
plant_height,1 (2); 1.5 (2),1
plant_height,1 (1); 4 (1); 4 m; 9 feet high,1
plant_height,1 (1); 3 (1),1
plant_height,1 (1); 2 (1); 4.5 (1),1
plant_height,1 (1); 2 (1); 3 (1); 5 (1),1
plant_height,1 (V); 5 (V),1
plant_height,1 (V); 2.5 (V),1
plant_height,1 (V); 2 (V); 3 (V),1
plant_height,1 (V); 1.1 (V),1
plant_height,1 (3); 5 (3),1
plant_height,1 (3); 3 (3),1
fire_time_from_fire_to_fruiting,68.6046511627907 (1),1
fire_time_from_fire_to_fruiting,60.4651162790698 (1),1
flowering_time,nnnnnnnnyyyy (1); nnnnnyyynnnn (1); yynnyyyyyyyy (1); yyyyyynnnnnn (1),1
flowering_time,nnnnnnnnyyyy (1); nnnnnnnyyyyy (1),1
flowering_time,nnnnnnnnyyyn (V); yynnnnnnyyyy (V),1
flowering_time,nnnnnnnnyyyn (V); ynnnnnnnyyyy (V),1
flowering_time,nnnnnnnnyyyn (V); ynnnnnnnnyyy (V),1
fruit_colour,brown (2); green (2); grey (2); red (2),1
fruit_colour,brown (1); red (1); yellow (1),1
fruit_colour,brown (1); purple,1
flowering_time,nnnnnnnynnnn (1); nyyyyyyyyynn (1),1
flowering_time,nnnnnnnynnnn (1); nnnnnnnyynnn (1); nnnnnnnyyynn (1),1
plant_height,1.5 (3),1
plant_height,1.5 (1); 2.4 (1); 3 (1); 3.02 (1),1
plant_height,1.5 (1); 1.6 (1); 3 (1),1
plant_height,1.4 (2),1
plant_height,1.3 (V),1
plant_height,1.3 (1); 1.5 (1),1
plant_height,1.25 (V),1
plant_height,1.2 (V); 1.5 (V),1
plant_height,1.2 (2); 2 (2),1
plant_height,1.2 (1); 1.75 (1); 1.8 (1),1
plant_height,1.2 (1),1
plant_height,1.1 (1); 1.2 (1),1
plant_height,1.03 (V),1
plant_height,1-3 m; 2m; to 30 cm,1
plant_height,10 (1); 15 (1),1
plant_height,10 (1); 12 (1),1
plant_height,1.8 (1),1
plant_height,1.7 (1),1
plant_height,1.6 (1),1
plant_height,1.5ft; 15 ft; 15-20 ft; 3m; 4 m; 5-15 m; up to\n60 mm; up to 20 ft; 10 (1); 15 (1); 2 (1); 3 (1); 6 (1),1
plant_height,1.5 (V); 2 (V),1
fruit_colour,black (V); purple (V),1
fruit_colour,black (V); brown (V); red (V),1
fruit_colour,black (V); blue (V),1
fruit_colour,black (3); brown (3); red (3),1
fruit_colour,black (3); brown (3); grey (3),1
flowering_time,nnnnnnnyyynn (1); nnnnnnyyyyyn (1); ynnnnnnnyyyy (1),1
flowering_time,nnnnnnnyyynn (1); nnnnnnnyyyyn (1); nnnnyyyyyyyy (1),1
flowering_time,nnnnnnnyynnn (1),1
flowering_time,nnnnnnnynnny (1); yyyyynnyyyyy (1); yyyyyyyyyyyy (1),1
plant_height,12 (1); 18 (1); 6 (1),1
plant_height,12 (1); 15 (1); 25 (1),1
plant_height,10 (V); 24 (V),1
plant_height,10 (V); 2 (V),1
plant_height,10 (V); 16 (V); 4 (V),1
plant_height,10 (4),1
plant_height,10 (3),1
plant_height,10 (2); 25 (2),1
plant_height,10 (1); 4 (1); 5 (1),1
plant_height,10 (1); 30 (1); 35 (1),1
plant_height,10 (1); 30 (1),1
plant_height,10 (1); 3 (1); 4 (1); 5 (1),1
plant_height,10 (1); 25 (1),1
plant_height,10 (1); 20 (1); 3 (1); 6 (1); 8 (1); 20 ft; 4-5 m,1
plant_height,10 (1); 2 (1); 5 (1),1
plant_height,10 (1); 15 (1); 35 (1); 8 (1),1
fruit_colour,black (1); grey (1); purple (1); red (1),1
fire_time_from_fire_to_fruiting,5.11627906976744 (1),1
fire_time_from_fire_to_fruiting,48 (2),1
fire_time_from_fire_to_fruiting,48 (1),1
plant_height,15 (2),1
plant_height,15 (1); 9 (1),1
plant_height,15 (1); 5 (1),1
plant_height,15 (1); 3.45 (1); 35 (1); 6 (1),1
plant_height,15 (1); 25 (1); 30 (1),1
plant_height,15 (1); 20 (1),1
plant_height,15 (1); 18 (1),1
plant_height,14 (V); 3 (V),1
plant_height,12 (V); 15 (V),1
plant_height,12 (3),1
plant_height,12 (1); 7 (1); 8 (1),1
plant_height,12 (1); 4 (1); 5 (1); 6 (1),1
plant_height,15 (V); 20 (V); 25 (V); 35 (V); 9 (V),1
fire_time_from_fire_to_fruiting,57.906976744186 (1),1
fire_time_from_fire_to_fruiting,57.4418604651163 (1),1
fire_time_from_fire_to_fruiting,56.2790697674419 (1),1
fire_time_from_fire_to_fruiting,54.6511627906977 (1),1
fire_time_from_fire_to_fruiting,50.6976744186047 (1),1
flowering_time,nnnnnnnnyyyy (V); ynnnnnnyyyyy (V),1
flowering_time,nnnnnnnnyyyy (4),1
fruit_colour,black (2); grey (2); yellow (2),1
fruit_colour,black (2); brown (2); yellow (2),1
fruit_colour,black (2); brown (2); red (2),1
fruit_colour,black (2); blue (2); brown (2),1
fruit_colour,black (2); blue (2),1
fruit_colour,black (1); purple (1); red (1),1
fruit_colour,black (1); purple,1
fruit_colour,black (1); pink (1); purple (1); red (1),1
plant_height,2 (V); 6 (V),1
plant_height,2 (V); 4 (V),1
plant_height,2 (4),1
plant_height,2 (1); 6 (1); 7 (1); 8 (1),1
plant_height,2 (1); 6 (1),1
plant_height,2 (1); 30-45 cm,1
plant_height,2 (1); 3 (1); 3.5 (1); 4 (1),1
plant_height,2 (1); 22 (1),1
plant_height,2 (1); 2.8 (1),1
plant_height,2 (1); 2.5 (1); 4 (1),1
plant_height,18 (V); 5 (V),1
plant_height,18 (V),1
plant_height,18 (1); 3 (1); 5 (1); 6 (1); 7 (1),1
plant_height,17 (V),1
plant_height,16 (V); 9 (V),1
plant_height,15 (V); 25 (V); 5 (V),1
flowering_time,yyyyyyynnyyy (1),1
flowering_time,yyyyyyynnnyy (2),1
flowering_time,yyyyyyynnnny (3),1
flowering_time,yyyyyyynnnnn (5),1
plant_height,20 (2),1
plant_height,20 (1); 25 (1); 35 (1); 4 (1),1
plant_height,20 (1),1
plant_height,2.7 (1); 4 (1),1
plant_height,2.5 (V); 7 (V),1
fire_time_from_fire_to_fruiting,45.3488372093023 (1),1
fire_time_from_fire_to_fruiting,42.7906976744186 (1),1
fire_time_from_fire_to_fruiting,4.88372093023256 (1),1
fire_time_from_fire_to_fruiting,39.3023255813954 (1),1
fire_time_from_fire_to_fruiting,38.1395348837209 (1),1
fire_time_from_fire_to_fruiting,37.906976744186 (1); 48.3720930232558 (1),1
fire_time_from_fire_to_fruiting,36.2790697674419 (1),1
plant_height,25 (V); 35 (V),1
plant_height,25 (2),1
plant_height,25 (1); 27 (1),1
plant_height,24 (2),1
plant_height,20 (V); 4 (V),1
plant_height,20 (V); 25 (V); 30 (V),1
plant_height,20 (V); 25 (V),1
plant_height,20 (5),1
fruit_colour,black (1); brown (1); white (1),1
fruit_colour,black (1); brown (1); red (1); yellow (1),1
fruit_colour,Brown; grey,1
fruit_colour,Brown; Grey; brown (1); red (1),1
flowering_time,yyyyyyyyyyyy (2),1
flowering_time,yyyyyyyyyyyn (1),1
flowering_time,yyyyyyyyynnn (1),1
flowering_time,yyyyyyyynnyy (1),1
plant_height,30 (V); 40 (V),1
plant_height,30 (4),1
plant_height,30 (3),1
plant_height,30 (1); 35 (1); 36 (1); 45 (1),1
plant_height,3.5 (1),1
plant_height,3 (V); 6 (V),1
plant_height,3 (V); 5 (V),1
plant_height,3 (V); 4 (V),1
plant_height,3 (6),1
plant_height,3 (2); 6 (2),1
plant_height,3 (1); 8 (1),1
plant_height,3 (1); 6 (1),1
plant_height,3 (1); 4 (1); 5 (1),1
plant_height,3 (1); 4 (1),1
plant_height,29 (1),1
plant_height,28 (V),1
fire_time_from_fire_to_fruiting,31.6279069767442 (1),1
fire_time_from_fire_to_fruiting,30.4651162790698 (1),1
plant_height,41 (1),1
plant_height,40 (V); 8 (V),1
plant_height,40 (5),1
plant_height,4.5 (1),1
plant_height,4 m; 7 (1),1
plant_height,4 (V); 6 (V),1
plant_height,4 (V); 4.5 (V),1
plant_height,4 (5),1
plant_height,4 (3),1
plant_height,4 (2),1
plant_height,4 (1); 5 (1),1
plant_height,35 (V); 45 (V),1
plant_height,35 (4),1
plant_height,35 (2),1
flowering_time,yyyyynnnyyyy (3),1
flowering_time,yyyyynnnyyyy (1); yyyyyyyyyyyy (1),1
flowering_time,yyyyynnnynnn (1),1
plant_height,6 (1); 8 (1),1
plant_height,50 (V); 55 (V),1
plant_height,5 (V); 9 (V),1
