trait_name,trait_value,Species Count
vegetative_reproduction_ability,not_vegetative (V),36
seedbank_longevity,--2 (g),36
seedbank_longevity_class,transient (V),36
resprouting_capacity,fire_killed (4),36
plant_growth_form,graminoid (V); herb (V),36
pollination_syndrome,abiotic (1); wind (1),36
nitrogen_fixing,nitrogen_fixer (1),35
plant_height,0.5 (V),35
competitive_stratum,ground,35
pollination_system,biotic_unspecialised (g),35
post_fire_recruitment,post_fire_recruitment (V),35
plant_growth_form,shrub (5),35
plant_height,1.5 (V),35
plant_growth_form,shrub (7),35
flower_colour,red_brown (1); yellow_orange (1),34
plant_growth_form,herb (3),34
bud_bank_location,basal_stem_buds (1),34
dispersers,wind (V),33
bud_bank_location,stem_tuber (f),33
post_fire_recruitment,post_fire_recruitment (3),33
dispersal_syndrome,barochory (1),33
plant_tolerance_inundation,1-6_months (1); less_than_1_month (1),33
plant_height,0.4 (V),33
seed_germination_treatment,none (1),33
fruiting_time,yynnnnnnnnny (1),32
sex_type,gynomonoecious (1),32
post_fire_recruitment,post_fire_recruitment (g),32
root_structure,arbuscular_mycorrhizal (1); ectomycorrhizal (1),32
flower_colour,green (1); yellow_orange (1),32
clonal_spread_mechanism,non_clonal (g),32
plant_growth_form,shrub (3),32
nitrogen_fixing,nitrogen_fixer (2),31
bud_bank_location,stem_tuber (1),31
clonal_spread_mechanism,rhizome (f),31
dispersers,ants (1); invertebrates (1),31
seedbank_longevity_class,persistent (1); transient (1),30
seedbank_longevity_class,long_persistent (1); persistent (1),30
flower_structural_sex_type,unisexual (1),30
dispersers,wind (3),30
plant_height,0.6 (V),30
reproductive_maturity,1--5 (2),30
plant_tolerance_salt,salt_spray_tolerant (1),30
resprouting_capacity,partial_resprouting (V),30
reproductive_maturity,5--20 (g),30
stem_growth_habit,erect (3),30
lifespan,50--100 (1); >500 (1),29
plant_flood_regime_classification,terrestrial_dry (1),29
lifespan,<50 (2),29
bud_bank_location,bud-bearing_root (1),29
flower_colour,blue_purple (1); white_cream (1),29
flower_colour,green (1),29
plant_growth_form,herb (2),29
lifespan,50-500 (V),29
lifespan,<10 (1),29
sex_type,monoecious (1),29
dispersal_syndrome,anemochory (3),28
lifespan,50--100 (1); <50 (1),28
plant_tolerance_water_logged_soils,1-6_months; greater_than_6_months; less_than_1_month (f),28
flower_colour,red_brown (1); white_cream (1),28
seedling_establishment_conditions,establish_post_fire (g),28
fruit_colour,black (1),28
plant_growth_form,shrub (2),27
plant_growth_form,climber_herbaceous (V),27
seedbank_longevity_class,transient (g),27
storage_organ,rhizome (3),27
life_history,perennial (9),27
pollination_syndrome,abiotic (1),27
plant_tolerance_calcicole,calcifuge (1),27
seed_dormancy_class,non_dormant (f),27
resprouting_capacity_juvenile,juvenile_fire_killed (g),27
root_structure,ectomycorrhizal (1),27
plant_tolerance_water_logged_soils,less_than_1_month (2),27
plant_tolerance_water_logged_soils,not_applicable (g),26
seed_dormancy_class,non_dormant (2),26
life_history,annual (6),26
root_structure,orchid_mycorrhizal (1),26
nitrogen_fixing,non_nitrogen_fixer (5),26
dispersers,ants (V),26
serotiny,not_serotinous (g),26
plant_tolerance_inundation,not_applicable (g),26
plant_tolerance_salt,halophyte_moderate (2),26
storage_organ,lignotuber (2),26
stem_growth_habit,erect (1); spreading (1),26
fruiting_time,yyyyynnnnnny (1),25
flower_colour,blue_purple (1); pink (1); white_cream (1),25
plant_tolerance_snow,not_applicable (g),25
plant_growth_substrate,terrestrial (3),25
plant_growth_form,tussock (V),25
lifespan,50-500 (f),24
seed_germination_treatment,smoke (1),24
clonal_spread_mechanism,non_clonal (2),24
clonal_spread_mechanism,stem_tuber (1),24
stem_growth_habit,rhizomatous (1),24
plant_tolerance_snow,days (1); months (1); weeks (1),24
resprouting_capacity,fire_killed (5),24
dispersal_syndrome,epizoochory (1),24
fruit_colour,brown (1); red (1),24
bud_bank_location,basal_buds (1); basal_stem_buds (1),24
seed_dormancy_class,non_dormant (g),23
pollination_syndrome,insect (4),23
plant_physical_defence_structures,sharp_pointed_defence (1),23
seedbank_longevity_class,widely_dispersed (1),23
dispersal_syndrome,endozoochory (1),23
resprouting_capacity,resprouts (6),22
seedbank_longevity,2-- (3),22
root_system_type,tap_root_absent (1),22
pollination_syndrome,wind (V),22
plant_height,5 (V),22
reproductive_maturity,5--20 (2),22
reproductive_maturity,5--20 (V),22
vegetative_reproduction_ability,vegetative (V),22
lifespan,>500 (f),22
stem_growth_habit,erect (1); prostrate (1),22
reproductive_maturity,0--1 (V),22
fruit_colour,black (V),21
seed_dormancy_class,physical_dormancy (2),21
storage_organ,rhizome (V),21
fire_time_from_fire_to_flowering,12 (V),21
fruiting_time,yyyyyynnnnnn (1),21
reproductive_maturity,1--5 (1); 2 (1),21
plant_flood_regime_classification,terrestrial_damp (1),21
plant_growth_form,herb (11),21
flower_structural_sex_type,bisexual (1); unisexual (1),21
plant_growth_substrate,aquatic (1),21
clonal_spread_mechanism,stolon (1),21
seedbank_longevity,--2 (1); 10-- (1),21
seedbank_location,soil_seedbank (3),21
dispersers,birds (1); vertebrates (1),21
plant_physical_defence_structures,absent (4),21
plant_height,10 (V),21
resprouting_capacity,fire_killed (1); resprouts (1),21
serotiny,serotinous (f),21
storage_organ,stem_tuber (1),20
vegetative_reproduction_ability,not_vegetative (4),20
dispersers,mammals (1),20
dispersal_syndrome,endozoochory (2),20
post_fire_recruitment,post_fire_recruitment_absent (2),20
pollination_syndrome,abiotic (f),20
stem_growth_habit,decumbent (V),20
flower_colour,blue_purple (1); pink (1),20
life_history,annual (5),20
plant_height,4 (V),20
storage_organ,rhizome (4),20
flower_colour,yellow_orange (2),20
stem_growth_habit,rhizomatous (2),20
dispersers,invertebrates (f),20
dispersal_syndrome,anemochory (1); barochory (1),20
plant_growth_substrate,terrestrial (2),20
lifespan,100 (1),20
sex_type,andromonoecious (1); hermaphrodite (1); monoecious (1),19
resprouting_capacity_non_fire_disturbance,resprouts_non_fire_disturbance (3),19
plant_tolerance_inundation,not_applicable (3),19
sex_type,hermaphrodite (1); monoecious (1),19
storage_organ,stem_tuber (2),19
resprouting_capacity,resprouts (7),19
plant_tolerance_water_logged_soils,not_applicable (3),19
leaf_type,scale (1),19
clonal_spread_mechanism,rhizome (2),19
bud_bank_location,basal_buds (1); none (1),19
resprouting_capacity_non_fire_disturbance,resprouts_non_fire_disturbance (g),19
dispersers,wind (g),19
dispersers,birds (1); water (1),19
plant_tolerance_snow,not_applicable (3),18
plant_tolerance_inundation,less_than_1_month (3),18
plant_height,0.1 (V),18
post_fire_flowering,fire_enhanced_flowering (1),18
plant_growth_form,herb (10),18
clonal_spread_mechanism,belowground_clonal (1),18
plant_growth_form,tree (4),18
nitrogen_fixing,nitrogen_fixer (g),18
flower_colour,white_cream (V),18
plant_height,20 (V),18
sex_type,andromonoecious (1); hermaphrodite (1),18
flowering_time,yyyyynnnyyyy (V),18
