Occurrence ID,Scientific Name,Event Date,Dataset Name,Reserve Name,Decimal Latitude,Decimal Longitude,Individual Count,Reproductive Condition,Establishment Means,Occurrence Remarks,Year,Month,Day,Habitat,Sampling Protocol,Locality,Location Remarks,Identified By,Date Identified,Owner Institution Code,Basis of Record,Data Generalizations,Recorded By,Client Business Name,__source,year,decimals,precision_tier
11059,Angophora costata,2023-06-23T14:41:49,iNaturalist research-grade observations,Not in a reserve,-33.974775,151.025247,,,,,2023.0,6.0,23.0,,,,,Bradley W. Jones,2023-06-23T07:36Z,,HUMAN_OBSERVATION,,Bradley W. Jones,CB Council,iNaturalist,2023,6,<1 m (6+ dp)
21743,Bidens pilosa,2000-06-29T00:00:00,WESTSYD2 Vegetation Survey,Not in a reserve,-33.940003,151.08831,,,introduced,occurrenceRemarks withheld,2000.0,6.0,29.0,,Floristic Data,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,OPUR23081001,CB Council,ALA,2000,6,<1 m (6+ dp)
194,Trema tomentosa,2024-03-25T15:40:58,iNaturalist research-grade observations,Lansdowne,-33.898051,150.978595,,,,,2024.0,3.0,25.0,,,,,Nina,2024-03-26T06:32:15Z,,HUMAN_OBSERVATION,,Nina,CB Council,iNaturalist,2024,6,<1 m (6+ dp)
33357,Melaleuca nodosa,2016-09-08T00:00:00,Ecoplanning Vegetation Survey,Not in a reserve,-33.887778,151.052778,,,,occurrenceRemarks withheld,2016.0,9.0,8.0,,Floristic Data,locality withheld,locationRemarks withheld,,,Ecoplanning P/L,HUMAN_OBSERVATION,,OPUR16031000,CB Council,ALA,2016,6,<1 m (6+ dp)
31140,Callistemon salignus,2016-11-18T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.963306,151.011361,,,,occurrenceRemarks withheld,2016.0,11.0,18.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP17013000,CB Council,ALA,2016,6,<1 m (6+ dp)
22187,Ehrharta erecta,2007-07-03T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.910303,150.988021,,,introduced,occurrenceRemarks withheld,2007.0,7.0,3.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP08071402,CB Council,ALA,2007,6,<1 m (6+ dp)
23056,Hibbertia puberula,2019-05-20T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.917026,150.978712,,,,occurrenceRemarks withheld,2019.0,5.0,20.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OPUR18091500;OICG19070400;OJJS20071501,CB Council,ALA,2019,6,<1 m (6+ dp)
24760,Cassytha pubescens,1999-02-15T00:00:00,DPIE Data from Scientific Licences dataset,Norfolk Reserve,-33.893488,151.062926,,,,occurrenceRemarks withheld,1999.0,2.0,15.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OJKP98040900,CB Council,ALA,1999,6,<1 m (6+ dp)
41912,Poranthera microphylla,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.909351,150.975191,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
39159,Grevillea robusta,2004-05-01T12:00:00,CondellPark Flora&Fauna Apndx4 POM,Marion Reserve,-33.914839,151.010151,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
36680,Caesia parviflora,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,Picnic Point Reserve,-33.977563,150.996147,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
38484,Eucalyptus baueriana,2004-05-01T12:00:00,Milperra area Flora&Fauna Apndx5 POM,Auld Reserve,-33.931086,150.973056,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
11171,Dendrophthoe vitellina,2021-10-22T10:23:11,iNaturalist research-grade observations,Not in a reserve,-33.882213,151.010606,,,,On Callistemon viminalis,2021.0,10.0,22.0,,,,,Thomas Mesaglio,2021-10-21T23:26:17Z,,HUMAN_OBSERVATION,,Thomas Mesaglio,CB Council,iNaturalist,2021,6,<1 m (6+ dp)
27346,Aristida ramosa,2021-06-02T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.877207,150.989496,,,,occurrenceRemarks withheld,2021.0,6.0,2.0,Open woodland,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OPUR14092500,CB Council,ALA,2021,6,<1 m (6+ dp)
3532,Acacia pubescens,2009-09-17T00:00:00,DPIE Data from Scientific Licences dataset,Lansdowne,-33.893664,150.977486,,,,occurrenceRemarks withheld,2009.0,9.0,17.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP11031700,CB Council,ALA,2009,6,<1 m (6+ dp)
5193,Urtica dioica,2024-10-23T12:00:00,BAM241023_095103,Lansdowne,-33.89297001,150.9768421,10.0,,Introduced,,2024.0,10.0,23.0,,Florist Data,Lansdowne Reserve,BAM data and floristic data from two monitoring plots collected in 2066,,2024-10-23T12:00:00Z,,human observation,,BLM,CB Council,ALA,2024,8,<1 m (6+ dp)
4892,Senecio madagascariensis,2014-11-06T00:00:00,GC-offsets Vegetation Survey,Lansdowne,-33.894044,150.974255,,,introduced,occurrenceRemarks withheld,2014.0,11.0,6.0,,Floristic Data,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,UNKN,CB Council,ALA,2014,6,<1 m (6+ dp)
30266,Passiflora morifolia,2014-02-05T00:00:00,ACA Vegetation Survey,Kelso Beach,-33.951841,150.981282,,,introduced,occurrenceRemarks withheld,2014.0,2.0,5.0,,Floristic Data,locality withheld,locationRemarks withheld,,,Anne Clements & Associates,HUMAN_OBSERVATION,,OEMM09100802;OIXR13100400,CB Council,ALA,2014,6,<1 m (6+ dp)
39996,Leptospermum petersonii,2004-05-01T12:00:00,Milperra area Flora&Fauna Apndx5 POM,Piper Reserve,-33.937765,150.972901,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
18,Artemisia verlotiorum,2023-11-26T14:14:00,iNaturalist research-grade observations,Lansdowne,-33.901321,150.974106,,,,,2023.0,11.0,26.0,,,,,Thomas Mesaglio,2023-11-26T08:59:34Z,,HUMAN_OBSERVATION,,Thomas Mesaglio,CB Council,iNaturalist,2023,6,<1 m (6+ dp)
30297,Acacia pubescens,2009-08-21T00:00:00,DPIE Data from Scientific Licences dataset,Deepwater,-33.948743,150.980436,,,,occurrenceRemarks withheld,2009.0,8.0,21.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP11031700,CB Council,ALA,2009,6,<1 m (6+ dp)
23392,Persoonia levis,2022-11-18T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.973697,151.005009,,FR Fresh Fruit,,occurrenceRemarks withheld,2022.0,11.0,18.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OLJH97031100,CB Council,ALA,2022,6,<1 m (6+ dp)
38107,Echinopogon ovatus,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Lansdowne,-33.896245,150.978391,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,2004,6,<1 m (6+ dp)
