Occurrence ID,Scientific Name,Event Date,Dataset Name,Reserve Name,Decimal Latitude,Decimal Longitude,Individual Count,Reproductive Condition,Establishment Means,Occurrence Remarks,Year,Month,Day,Habitat,Sampling Protocol,Locality,Location Remarks,Identified By,Date Identified,Owner Institution Code,Basis of Record,Data Generalizations,Recorded By,Client Business Name
38405,Erythrina crista-galli,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,Thomas Street Depot,-33.96590278,151.013035,,,,,2004,5,1,,,,,,,,,,,CB Council
38406,Erythrina crista-galli,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,Thomas Street Depot,-33.96590278,151.013035,,,,,2004,5,1,,,,,,,,,,,CB Council
38407,Erythrina hybrida,2004-05-01T12:00:00,Salt Pan Creek Flora&Fauna Apndx4 POM,Salt Pan Reserve,-33.946515,151.039711,,,,,2004,5,1,,,,,,,,,,,CB Council
38408,Erythrina indica,2004-05-01T12:00:00,EastHills Flora&Fauna Apndx5 POM,East Hills Park,-33.96446,150.982875,,,,,2004,5,1,,,,,,,,,,,CB Council
38409,Erythrina indica,2004-05-01T12:00:00,EastHills Flora&Fauna Apndx5 POM,Monash Reserve,-33.963992,150.988145,,,,,2004,5,1,,,,,,,,,,,CB Council
38417,Erythrina sp.,2004-05-01T12:00:00,Birrong Sefton Flora&Fauna Apndx3 POM,Jenson Pk,-33.883502,151.01767,,,,,2004,5,1,,,,,,,,,,,CB Council
38418,Erythrina sp.,2004-05-01T12:00:00,Birrong Sefton Flora&Fauna Apndx3 POM,Jenson Pk,-33.883502,151.01767,,,,,2004,5,1,,,,,,,,,,,CB Council
38410,Erythrina sp.,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Boggabilla,-33.893074,150.979543,,,,,2004,5,1,,,,,,,,,,,CB Council
38411,Erythrina sp.,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Boggabilla,-33.893074,150.979543,,,,,2004,5,1,,,,,,,,,,,CB Council
38412,Erythrina sp.,2004-05-01T12:00:00,Revesby and Padstow reserves Flora&Fauna Apndx6 POM,Montgomery Reserve,-33.954794,151.020454,,,,,2004,5,1,,,,,,,,,,,CB Council
38413,Erythrina sp.,2004-05-01T12:00:00,Revesby and Padstow reserves Flora&Fauna Apndx6 POM,Montgomery Reserve,-33.954794,151.020454,,,,,2004,5,1,,,,,,,,,,,CB Council
38414,Erythrina sp.,2004-05-01T12:00:00,Revesby and Padstow reserves Flora&Fauna Apndx6 POM,Virginius Reserve,-33.960678,151.022552,,,,,2004,5,1,,,,,,,,,,,CB Council
38416,Erythrina sp.,2004-05-01T12:00:00,Revesby and Padstow reserves Flora&Fauna Apndx6 POM,Virginius Reserve,-33.960678,151.022552,,,,,2004,5,1,,,,,,,,,,,CB Council
38419,Erythrina x sykesii,2004-05-01T12:00:00,Greenacre Flora&Fauna Apndx3 POM,Roberts Road Reserve,-33.90619,151.065494,,,,,2004,5,1,,,,,,,,,,,CB Council
38420,Erythrina x sykesii,2004-05-01T12:00:00,Greenacre Flora&Fauna Apndx3 POM,Roberts Road Reserve,-33.90619,151.065494,,,,,2004,5,1,,,,,,,,,,,CB Council
38421,Erythrina x sykesii,2004-05-01T12:00:00,Greenacre Flora&Fauna Apndx3 POM,Roberts Road Reserve,-33.90619,151.065494,,,,,2004,5,1,,,,,,,,,,,CB Council
38426,Erythrina x sykesii,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.909351,150.975191,,,,,2004,5,1,,,,,,,,,,,CB Council
38430,Erythrina x sykesii,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.909351,150.975191,,,,,2004,5,1,,,,,,,,,,,CB Council
38434,Erythrina x sykesii,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.909351,150.975191,,,,,2004,5,1,,,,,,,,,,,CB Council
38425,Erythrina x sykesii,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.906477,150.980754,,,,,2004,5,1,,,,,,,,,,,CB Council
38429,Erythrina x sykesii,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.906477,150.980754,,,,,2004,5,1,,,,,,,,,,,CB Council
38433,Erythrina x sykesii,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.906477,150.980754,,,,,2004,5,1,,,,,,,,,,,CB Council
38427,Erythrina x sykesii,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.900525,150.97568,,,,,2004,5,1,,,,,,,,,,,CB Council
38431,Erythrina x sykesii,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.900525,150.97568,,,,,2004,5,1,,,,,,,,,,,CB Council
38435,Erythrina x sykesii,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.900525,150.97568,,,,,2004,5,1,,,,,,,,,,,CB Council
38428,Erythrina x sykesii,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.893451,150.970339,,,,,2004,5,1,,,,,,,,,,,CB Council
38432,Erythrina x sykesii,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.893451,150.970339,,,,,2004,5,1,,,,,,,,,,,CB Council
38436,Erythrina x sykesii,2004-05-01T12:00:00,Lansdowne area Flora&Fauna Appndx6 POM,Miram-Beena,-33.893451,150.970339,,,,,2004,5,1,,,,,,,,,,,CB Council
38422,Erythrina x sykesii,2004-05-01T12:00:00,Revesby and Padstow reserves Flora&Fauna Apndx6 POM,Virginius Reserve,-33.960678,151.022552,,,,,2004,5,1,,,,,,,,,,,CB Council
38423,Erythrina x sykesii,2004-05-01T12:00:00,Revesby and Padstow reserves Flora&Fauna Apndx6 POM,Virginius Reserve,-33.960678,151.022552,,,,,2004,5,1,,,,,,,,,,,CB Council
