scientific_name,common_name,reserve_name,decimal_latitude,decimal_longitude,date_of_observation,plant_growth_form
Antigonon leptopus,Antigonon,Not in a reserve,-33.903703,151.120925,26/3/2025 11:41,climber (1); climber_herbaceous (2); herb (2)
Aotus ericoides,,Not in a reserve,-33.980556,151.008333,,shrub (10)
Apium leptophyllus,,Amaroo,-33.908,150.982962,1/5/2004 12:00,
Apium prostratum var. prostratum,,Lansdowne,-33.9,150.97,2/11/1997 0:00,herb (4)
Archontophoenix spp.,King Palm,Lambeth Reserve,-33.971772,150.996708,1/5/2004 12:00,
Archontophoenix spp.,King Palm,Little Salt Pan Creek Reserve,-33.96882,151.029014,1/5/2004 12:00,
Aristida benthamii,,Picnic Point Reserve,-33.977563,150.996147,1/5/2004 12:00,
Aristida calycina,,Not in a reserve,-33.933333,151.033333,12/10/1957 0:00,graminoid (5); herb (3); tussock (3)
Artemisia verlotiorum,Chinese Wormwood,Lansdowne,-33.901321,150.974106,26/11/2023 14:14,herb (4)
Artemisia verlotiorum,Chinese Wormwood,Not in a reserve,-33.891655,151.045581,31/1/2025 8:47,herb (4)
Arthropodium sp. b,Vanilla Lily,"Lot 5, Prescot Parade Prescot Parade",-33.9447853,150.9769274,1/5/2004 12:00,
Arthropodium sp. b,Vanilla Lily,Crest,-33.908539,150.99598,1/5/2004 12:00,
Asparagus sp. ,Asparagus fern,Crest,-33.908539,150.99598,1/5/2004 12:00,
Asparagus sp. ,Asparagus fern,Bellevue,-33.910871,150.998776,1/5/2004 12:00,
Aspidistra elatior.,Cast Iron Plant,Lambeth Reserve,-33.971772,150.996708,1/5/2004 12:00,
Asplenium flabellifolium,,Alma Reserve,-33.963313,151.038039,1/5/2004 12:00,
Asterolasia correifolia,,Not in a reserve,-33.9667,151.0167,7/10/1987 0:00,shrub (6); tree (1)
Atriplex sp.,Saltbush,Picnic Point Reserve,-33.977563,150.996147,1/5/2004 12:00,
Atriplex sp.,Saltbush,Kelso Creek,-33.950301,150.984015,1/5/2004 12:00,
Austrocylindropuntia cylindrica,Cane Cactus,Not in a reserve,-33.94,151.06,21/12/2023 0:00,shrub (5)
Austrodanthonia spp.,Wallaby grass,Cox Reserve,-33.969139,151.021958,1/5/2004 12:00,
Austrostipa bigeniculata,Tall Spear-grass,Crest,-33.908539,150.99598,1/5/2004 12:00,
Austrostipa elegantissima,Feather Spear-grass,Not in a reserve,-33.9152971,151.0926061,20/11/1970 0:00,graminoid (6); graminoid_not_tussock (2); herb (5); tussock (2)
Austrostipa rudis subsp. nervosa,Veined Spear-grass,Lansdowne,-33.89269,150.97436,1/12/2009 0:00,graminoid (3); herb (5); tussock (4)
Austrostipa rudis subsp. nervosa,Veined Spear-grass,Lansdowne,-33.893524,150.977165,7/11/2014 0:00,graminoid (3); herb (5); tussock (4)
Austrostipa scaber ssp. falcata,,Smith Park,-33.958369,150.990262,1/5/2004 12:00,
Avicennia marina subsp. australasica,Grey Mangrove,Lansdowne,-33.896033,150.968563,18/8/2010 0:00,shrub (6); tree (4)
Avicennia marina subsp. australasica,Grey Mangrove,Lansdowne,-33.900745,150.973633,10/8/2024 15:17,shrub (6); tree (4)
Azolla pinnata,,Crest,-33.908539,150.99598,1/5/2004 12:00,
Azolla pinnata,,Lansdowne,-33.896245,150.978391,1/5/2004 12:00,
Baeckea diosmifolia,,Not in a reserve,-33.97447,151.007351,14/12/2010 0:00,shrub (7)
Baeckea diosmifolia,,Not in a reserve,-33.976092,151.007833,14/12/2010 0:00,shrub (7)
Baeckea linifolia,,Not in a reserve,-33.916667,151.1,1898-12-20 00:00:00,shrub (8)
Baeckea linifolia,,Not in a reserve,-33.975354,151.014106,21/2/2022 13:24,shrub (8)
