scientific_name,common_name,reserve_name,decimal_latitude,decimal_longitude,date_of_observation,plant_growth_form
Daviesia ulicifolia subsp. ulicifolia,Gorse Bitter-pea,Lansdowne,-33.899853,150.981232,4/11/2022 14:51,shrub (6)
Dendrobium delicatum,,Not in a reserve,-33.91509,151.084491,30/9/1949 0:00,
Dendrophthoe spp.,Mistletoe,Montgomery Reserve,-33.954794,151.020454,1/5/2004 12:00,
Desmodium eugenioides,,Amaroo,-33.908,150.982962,1/5/2004 12:00,
Desmodium spp.,Tick-trefoil,Bellevue,-33.910871,150.998776,1/5/2004 12:00,
Desmodium spp.,Tick-trefoil,Manahan Reserve,-33.92033,151.006218,1/5/2004 12:00,
Deyeuxia appressa,,Not in a reserve,-33.95,151.016667,9/11/1930 0:00,graminoid (3); herb (2)
Deyeuxia appressa,,Not in a reserve,-33.95862,151.036865,9/11/1930 0:00,graminoid (3); herb (2)
Dianella caerulea var. caerulea,,Lansdowne,-33.892471,150.977849,7/11/2014 0:00,herb (5); tussock (1)
Dianella prunina,,East Hills Park,-33.964295,150.982435,8/9/2015 0:00,herb (4)
Dianella prunina,,Not in a reserve,-33.966667,151.016667,,herb (4)
Dichanthium parva,Bluegrass,Carysfield,-33.902185,150.998468,1/5/2004 12:00,
Dichanthium repens,Creeping Bluegrass,Carysfield,-33.902185,150.998468,1/5/2004 12:00,
Dichanthium sp.,Bluegrass,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Dichanthium sp.,Bluegrass,Carysfield,-33.902185,150.998468,1/5/2004 12:00,
Dichelachne inaequiglumis,,Carysfield,-33.902185,150.998468,1/5/2004 12:00,graminoid (4); herb (5); tussock (2)
Dichelachne inaequiglumis,,Adept Lane Reserve,-33.931844,151.036664,16/4/2009 0:00,graminoid (4); herb (5); tussock (2)
Dichelachne sieberiana,,Not in a reserve,-33.94,151.092778,21/11/1997 0:00,graminoid (3); herb (4); tussock (3)
Dichelachne sieberiana,,Smith Park,-33.958369,150.990262,1/5/2004 12:00,graminoid (3); herb (4); tussock (3)
Dichondra sp. inglewood (j.m.dalby 86/93),,East Hills Park,-33.96446,150.982875,1/5/2004 12:00,
Dietes robinsoniana,Lord Howe Wedding Lily,Crest,-33.909349,150.994229,8/10/2004 0:00,herb (3)
Digitaria aequiglumis,Argentinian Crabgrass,Not in a reserve,-33.973333,151.009444,27/2/1999 0:00,graminoid (5); herb (4)
Digitaria diffusa,,Marion Reserve,-33.915102,151.010099,17/3/2011 0:00,graminoid (3); graminoid_not_tussock (1); herb (3); tussock (1)
Digitaria velutina,Velvet Fingergrass,Not in a reserve,-33.940091,150.992827,3/5/2005 0:00,graminoid (2); herb (1)
Dillwynia elegans,,Not in a reserve,-33.966667,151,21/9/1996 0:00,shrub (3)
Dillwynia elegans,,Not in a reserve,-33.973277,151.013725,29/8/2023 16:22,shrub (3)
Dillwynia phylicoides,,Not in a reserve,-33.883333,150.983333,,shrub (9)
Dillwynia rudis,,Not in a reserve,-33.95,151.016667,29/6/1949 0:00,shrub (4)
Dimorphotheca fruticosa,Trailing African Daisy,Not in a reserve,-33.966686,151.041687,1/10/2009 0:00,herb (2); subshrub (3)
Dimorphotheca fruticosa,Trailing African Daisy,Not in a reserve,-33.917913,151.116308,4/4/2018 0:00,herb (2); subshrub (3)
Diospyros kaki,Persimmon,Deepwater,-33.949066,150.976607,1/5/2004 12:00,
Diplachne fusca,,Not in a reserve,-33.91509,151.084491,14/4/1931 0:00,graminoid (8); herb (7); tussock (5)
Diploglottis australis,,Not in a reserve,-33.977766,150.996904,3/4/2020 0:00,tree (5)
Diploglottis australis,,Not in a reserve,-33.912606,151.034377,21/3/2022 0:00,tree (5)
Diploglottis campbellii,Small-leaved Tamarind,Not in a reserve,-33.9,151,1/12/1931 0:00,tree (5)
Diuris punctata,Purple Donkey Orchid,Not in a reserve,-33.91509,151.084491,29/9/1948 0:00,herb (8)
Diuris punctata,Purple Donkey Orchid,Not in a reserve,-33.886564,150.995018,3/10/2022 16:44,herb (8)
Dizygotheca elegantissima,,Not in a reserve,-33.96926,151.044229,29/5/2008 0:00,
Dodonaea viscosa subsp. cuneata,,Lansdowne,-33.89425234,150.9770558,9/11/2023 12:00,shrub (12)
Doodia aspera,,Deepwater,-33.949066,150.976607,1/5/2004 12:00,
Dracaena fragrans,,Not in a reserve,-33.979568,150.997513,16/9/2021 14:37,
Drosera binata,Forked Sundew,Not in a reserve,-33.91509,151.084491,1899-09-01 00:00:00,herb (12)
Drosera binata,Forked Sundew,Not in a reserve,-33.930625,151.132489,7/2/2024 16:50,herb (12)
Drosera spp.,Sundew,Dilke Reserve,-33.972867,151.035019,1/5/2004 12:00,
Dysphania carinata,,Not in a reserve,-33.943214,150.972327,21/2/2015 0:00,herb (7)
Dysphania glomulifera,,Not in a reserve,-33.916667,151.066667,,herb (9)
Dysphania pumilio,,Deepwater,-33.947667,150.977167,22/1/2003 0:00,herb (11)
Echinopogon intermedius,,The Crest Reserve,-33.91092254,150.998445,6/11/2023 12:00,
Echinopogon spp.,Hedgehog Grass,East Hills Park,-33.96446,150.982875,1/5/2004 12:00,
Echinopogon spp.,Hedgehog Grass,Monash Reserve,-33.963992,150.988145,1/5/2004 12:00,
Egeria densa,Dense Waterweed,Not in a reserve,-33.94,151.04,21/12/2021 0:00,herb (4)
Eichhornia piperita,Water Hyacinth,Thomas Street Depot,-33.96590278,151.013035,1/5/2004 12:00,
Eilobium billardierianum ssp. cinereum,Willowherb,East Hills Park,-33.96446,150.982875,1/5/2004 12:00,
Einadia nutans spp. linifolia,Nodding Saltbush,Lansdowne,-33.896245,150.978391,1/5/2004 12:00,
Einadia nutans subsp. nutans,Climbing Saltbush,Lansdowne,-33.89495,150.97335,22/1/2003 0:00,herb (7)
Elaeocarpus grandis,Blue Quandong,Deepwater,-33.949066,150.976607,1/5/2004 12:00,
Eleocharis cylindrostachys,,Lansdowne,-33.896245,150.978391,1/5/2004 12:00,
Eleocharis cylindrostachys,,Crest,-33.908539,150.99598,1/5/2004 12:00,
Eleocharis equisetina,,Kelso Creek,-33.950301,150.984015,1/5/2004 12:00,
Eleocharis parvula,Dwarf Spikerush,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Enteropogon acicularis,Spider Grass,Not in a reserve,-33.91509,151.084491,24/8/1968 0:00,graminoid (9); herb (3); tussock (5)
Entolasia whiteana,,Not in a reserve,-33.966667,151,,graminoid (1); herb (1); tussock (2)
Epacris obtusifolia,,Not in a reserve,-33.916667,151.066667,,shrub (10)
Epacris purpurascens var. purpurascens,Purple Heath,Louisa,-33.905454,150.999701,1/5/2004 12:00,shrub (3)
Epidendrum obrienianum,,Not in a reserve,-33.970708,151.028547,23/1/2022 13:22,
Epidendrum radicans,,Not in a reserve,-33.926836,151.146967,13/7/2021 14:27,herb (1)
Epidendrum radicans,,Not in a reserve,-33.970102,151.031194,9/6/2023 9:46,herb (1)
Epilobium billardiereanum,,Not in a reserve,-33.90416,150.980896,26/11/2023 13:14,herb (9)
Epilobium ciliatum,Glandular Willow-herb,Not in a reserve,-33.882164,151.009602,30/8/2023 11:06,herb (7)
Eragrostis elongata,,Kelso Creek,-33.95,150.983333,23/4/2000 0:00,graminoid (6); herb (5); tussock (3)
Eragrostis elongata,,Kelso Creek,-33.95,150.983333,23/4/2000 0:00,graminoid (6); herb (5); tussock (3)
Eragrostis laniflora,Hairy-flower Woollybutt,Not in a reserve,-33.905179,151.038241,8/3/2019 0:00,graminoid (4); graminoid_not_tussock (1); herb (3); tussock (2)
Eragrostis mexicana,,Lansdowne,-33.89495,150.97335,22/1/2003 0:00,graminoid (5); herb (5); tussock (2)
Eragrostis parviflora,,Not in a reserve,-33.876731,150.987901,28/5/1996 0:00,graminoid (7); herb (5); tussock (4)
Eragrostis parviflora,,Lansdowne,-33.89425234,150.9770558,9/11/2023 12:00,graminoid (7); herb (5); tussock (4)
Erechtites valerianifolius,Brazilian Fireweed,Not in a reserve,-33.933291,150.97841,18/5/2018 0:00,herb (4); shrub (1)
Erechtites valerianifolius,Brazilian Fireweed,Lambeth Reserve,-33.973132,150.997983,3/12/2024 13:23,herb (4); shrub (1)
Erigeron sp.,Fleabane,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Eriocaulon scariosum,,Not in a reserve,-33.916667,151.1,1893-12-08 00:00:00,herb (5)
Eriocaulon scariosum,,Not in a reserve,-33.916667,151.1,,herb (5)
Eriochilus petricola,Parson's Bands,Not in a reserve,-33.9652979,150.9842741,19/4/1999 0:00,herb (2)
Erythrina hybrida,Coral Tree Hybrid,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Erythrina indica,Indian Coral Tree,Monash Reserve,-33.963992,150.988145,1/5/2004 12:00,
Erythrina indica,Indian Coral Tree,East Hills Park,-33.96446,150.982875,1/5/2004 12:00,
Eucalyptus alligatrix,,Not in a reserve,-33.940064,150.995769,1/8/2022 0:00,tree (5)
Eucalyptus caleyi,Caleys Ironbark,Not in a reserve,-33.890332,151.055229,15/9/2015 0:00,tree (4)
Eucalyptus canaliculata,Large-fruited Grey Gum,Not in a reserve,-33.904543,151.038029,19/2/2020 0:00,tree (4)
Eucalyptus chlorophylla,Glossy-leaved Box,Not in a reserve,-33.91509,151.084491,17/6/1939 0:00,mallee (2); tree (5)
Eucalyptus dives,Broad-leaved Peppermint,Manahan Reserve,-33.92033,151.006218,1/5/2004 12:00,
Eucalyptus elata,,Not in a reserve,-33.918362,150.978117,16/3/2020 0:00,mallee (1); tree (8)
Eucalyptus elata,,Not in a reserve,-33.940454,150.995817,19/4/2023 0:00,mallee (1); tree (8)
Eucalyptus eugenoides,Thin-leaved Stringybark,Flood Reserve,-33.935995,151.021996,1/5/2004 12:00,
Eucalyptus globulus,,East Hills Park,-33.964295,150.982435,8/9/2015 0:00,tree (8)
Eucalyptus latifolius,White Gum,Deepwater,-33.949066,150.976607,1/5/2004 12:00,
Eucalyptus macrorhyncha,Red Stringybark,Not in a reserve,-33.912606,151.034377,21/3/2022 0:00,tree (10)
Eucalyptus major,Mountain Grey Gum,Not in a reserve,-33.905179,151.038241,8/3/2019 0:00,tree (4)
Eucalyptus mannifera,,Not in a reserve,-33.93508,151.023087,18/3/2014 0:00,tree (4)
Eucalyptus obstans,,Not in a reserve,-33.916667,151.133333,1886-11-27 00:00:00,mallee (2); tree (1)
Eucalyptus polyanthemos,Red Box,Not in a reserve,-33.974984,151.019113,6/7/2021 12:52,mallee (1); tree (7)
Eucalyptus robusta x Eucalyptus tereticornis,,Not in a reserve,-33.916667,151.1,3/2/1900 0:00,
Eucalyptus robusta x Eucalyptus tereticornis,,Not in a reserve,-33.916667,151.1,3/2/1900 0:00,
Eucalyptus sieberi,,Not in a reserve,-33.929191,151.128771,27/2/2007 0:00,tree (12)
Eucalyptus spp.,"Eucalypt, Gum Tree",Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Eucalyptus squamosa,,Not in a reserve,-33.976092,151.007833,14/12/2010 0:00,tree (6)
Eucalyptus triflora,Threeway Gum,Roberts Road Reserve,-33.90619,151.065494,1/5/2004 12:00,
Eucalyptus triflora,Threeway Gum,Flood Reserve,-33.935995,151.021996,1/5/2004 12:00,
Eucalyptus umbra,,Monash Reserve,-33.963992,150.988145,1/5/2004 12:00,shrub (4); tree (9)
Eucalyptus umbra,,East Hills Park,-33.964295,150.982435,8/9/2015 0:00,shrub (4); tree (9)
Euphorbia dallachyana,,Deepwater,-33.946339,150.979163,27/5/2021 0:00,herb (7)
Euphorbia dallachyana,,Deepwater,-33.945973,150.981653,27/5/2021 10:47,herb (7)
Euphorbia hyssopifolia,Euphorbia,Not in a reserve,-33.903896,150.980606,26/11/2023 13:10,herb (3); subshrub (1)
Euphorbia lathyris,Caper Spurge,Not in a reserve,-33.9,151.116667,,herb (5)
Euphorbia maculata,Eyebane,Band Hall Reserve,-33.896321,151.019664,9/2/2023 11:22,herb (6)
Euphorbia milii,,Lansdowne,-33.89463,150.97893,26/11/2023 0:00,herb (1)
Euphorbia milii,,Lansdowne,-33.89463,150.978928,26/11/2023 16:05,herb (1)
Euphorbia oblongata,Balkan Spurge,Jenson Pk,-33.884558,151.018914,31/10/2022 14:31,herb (1); subshrub (2)
Euphorbia ophthalmica,Florida Hammock Sandmat (usa),Maluga Passive Pk,-33.893108,151.014999,18/4/2022 13:35,herb (2)
Euphorbia paralias,Sea Spurge,Not in a reserve,-33.93,151.12,16/10/2018 7:15,herb (6); shrub (3)
Euphorbia serpens,Matted Sandmat,Not in a reserve,-33.940437,151.042908,22/10/2021 12:27,herb (2)
Euphorbia serpens,Matted Sandmat,Not in a reserve,-33.909946,150.997955,27/6/2023 13:55,herb (2)
Euphorbia sp.,Spurge,Amaroo,-33.908,150.982962,1/5/2004 12:00,
Euphorbia tirucalli,Naked Lady,Not in a reserve,-33.969667,151.036426,6/5/2020 11:22,shrub (2); tree (2)
Ficus coronata,,Not in a reserve,-33.929638,151.128316,12/7/2022 15:13,shrub (7); tree (10)
Ficus elastica,Rubber Plant,Little Salt Pan Creek Reserve,-33.96882,151.029014,1/5/2004 12:00,
Ficus elastica,Rubber Plant,Cox Reserve,-33.969139,151.021958,1/5/2004 12:00,
Ficus hilii,Hills Fig,Deepwater,-33.949066,150.976607,1/5/2004 12:00,
Ficus pumila,Creeping Fig,Not in a reserve,-33.913225,150.989012,29/2/2024 0:00,climber_woody (1); shrub (1)
Ficus spp.,Fig,Amaroo,-33.908,150.982962,1/5/2004 12:00,
Ficus spp.,Fig,Walshaw Park,-33.901345,151.004631,1/5/2004 12:00,
Fraxinus angustifolia,,Not in a reserve,-33.945433,150.983143,23/11/2015 0:00,tree (2)
Fraxinus griffithii,,Lansdowne,-33.897348,150.978439,25/3/2024 15:42,tree (2)
Freesia laxa,Freesia,Not in a reserve,-33.956303,151.04059,4/10/2021 13:37,herb (4)
Freesia refracta,Freesia,Thomas Street Depot,-33.96590278,151.013035,1/5/2004 12:00,
Freesia refracta,Freesia,The River Reserve,-33.969546,151.016111,1/5/2004 12:00,
Funaria spp.,Cord Moss,Marion Reserve,-33.914839,151.010151,1/5/2004 12:00,
Gahnia erythrocarpa,,Lambeth Reserve,-33.97277,150.998412,21/12/2001 0:00,graminoid (3); herb (3)
Galactia sp.,Milkpea,Lansdowne,-33.896245,150.978391,1/5/2004 12:00,
Galium gaudichaudii,,Lansdowne,-33.902277,150.978906,28/6/1999 0:00,herb (8)
Galium leiocarpum,,Deepwater,-33.949556,150.97452,5/2/2014 0:00,herb (9)
Galium leiocarpum,,Lansdowne,-33.89425234,150.9770558,9/11/2023 12:00,herb (9)
Galium liratum,,Crest,-33.909444,150.993333,13/9/2007 0:00,herb (5)
Gamochaeta,,Lansdowne,-33.902206,150.980058,2/10/2023 11:47,
Gamochaeta americana,Spiked Cudweed,Not in a reserve,-33.92358,151.073587,25/10/2024 0:00,herb (4)
Gamochaeta americanum,American Cudweed,Crest,-33.908539,150.99598,1/5/2004 12:00,
Gazania sp.,Gazania,Amberdale Reserve,-33.972098,151.0034,1/5/2004 12:00,
Geranium brevicaule,Alpine Crane's-bill,Not in a reserve,-33.91509,151.084491,15/2/1989 0:00,herb (5)
Geranium molle,Soft Geranium,Not in a reserve,-33.949284,150.990082,23/8/2016 17:10,herb (6)
Ghazania hybrid,Gazania,Richardson Reserve,-33.963555,151.027909,1/5/2004 12:00,
Gladiolus carneus,Broad-leaf Painted Lady,Not in a reserve,-33.930192,151.128013,16/10/2022 10:42,herb (6)
Gladiolus carneus,Broad-leaf Painted Lady,The River Reserve,-33.968404,151.02237,4/10/2024 15:01,herb (6)
Gladiolus dalenii,Natal Lily,Not in a reserve,-33.976312,151.009161,20/5/2020 14:50,herb (2)
Gleichenia spp.,Coral Fern,Lambeth Reserve,-33.971772,150.996708,1/5/2004 12:00,
Glochidion ferdinandi var. ferdinandi,Cheese Tree,Picnic Point Reserve,-33.977563,150.996147,1/5/2004 12:00,shrub (4); tree (3)
Glochidion ferdinandi var. ferdinandi,Cheese Tree,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,shrub (4); tree (3)
Glossocardia bidens,,Lansdowne,-33.896245,150.978391,1/5/2004 12:00,herb (11)
Glossocardia bidens,,Lansdowne,-33.901051,150.980391,28/1/2022 0:00,herb (11)
Gnaphalium sp.,Cudweed,Bellevue,-33.910871,150.998776,1/5/2004 12:00,
Gnaphalium sp.,Cudweed,Jenson Pk,-33.883502,151.01767,1/5/2004 12:00,
Gnapthalium sp.,Cudweed,Walshaw Park,-33.901345,151.004631,1/5/2004 12:00,
Gnapthalium sp.,Cudweed,Virginius Reserve,-33.960678,151.022552,1/5/2004 12:00,
Gomphocarpus sp.,Cotton Bush,Walshaw Park,-33.901345,151.004631,1/5/2004 12:00,
Gompholobium inconspicuum,,Not in a reserve,-33.883333,151,20/8/1925 0:00,shrub (7); subshrub (1)
Gompholobium minus,,East Hills Park,-33.96446,150.982875,1/5/2004 12:00,
Gompholobium virgatum,Leafy Wedge-pea,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Gonocarpus humilis,,Monash Reserve,-33.963992,150.988145,1/5/2004 12:00,
Gonocarpus longifolius,,East Hills Park,-33.965122,150.984469,31/10/1910 0:00,shrub (1); subshrub (3)
Gonocarpus longifolius,,East Hills Park,-33.965122,150.984469,30/11/1910 0:00,shrub (1); subshrub (3)
Gonocarpus micranthus,,Not in a reserve,-33.91509,151.084491,1/2/1914 0:00,herb (8)
Gonocarpus micranthus,,Not in a reserve,-33.975965,151.013841,3/4/2025 16:44,herb (8)
Gonocarpus tenuifolia,,East Hills Park,-33.96446,150.982875,1/5/2004 12:00,
Goodenia hederacea ssp. hederacea,Forest Goodenia,Walshaw Park,-33.901345,151.004631,1/5/2004 12:00,
Goodenia sp.,Goodenia,Crest,-33.908539,150.99598,1/5/2004 12:00,
Grastidium baileyi,Blotched Gemini Orchid,Not in a reserve,-33.91509,151.084491,1/3/1964 0:00,herb (2)
Gratiola pedunculata,,Not in a reserve,-33.916667,151.066667,1898-12-04 00:00:00,herb (7)
Grevillea concinna,,Not in a reserve,-33.978133,150.999617,10/1/2023 13:00,shrub (3)
Grevillea diffusa,,Not in a reserve,-33.966667,151,21/10/1997 0:00,shrub (3)
Grevillea diffusa,,Not in a reserve,-33.966667,151,21/10/1997 0:00,shrub (3)
Grevillea juniperina,,Not in a reserve,-33.890332,151.055229,15/9/2015 0:00,shrub (5)
Grevillea parviflora,,Not in a reserve,-33.95,151.033333,,shrub (5); tree (2)
Grona varians,,Lansdowne,-33.89297001,150.9768421,23/10/2024 12:00,
Grona varians,,Lansdowne,-33.89421228,150.9778359,23/10/2024 12:00,
Guioa semiglauca,,Ashford Reserve,-33.929542,150.984621,23/5/2018 0:00,tree (10)
Guioa semiglauca,,Ashford Reserve,-33.929542,150.984621,6/3/2020 0:00,tree (10)
Hakea eriantha,Tree Hakea,Not in a reserve,-33.91509,151.084491,1/9/1915 0:00,shrub (10); tree (6)
Hakea gibbosa,,Not in a reserve,-33.9,151.116667,1887-06-25 00:00:00,shrub (7)
Hakea gibbosa,,Not in a reserve,-33.974228,151.006943,28/10/2024 8:57,shrub (7)
Hakea laurina,Pincushion Hakea,Not in a reserve,-33.91509,151.084491,1/5/1917 0:00,shrub (6); tree (6)
Hakea lorea,Corkbark Tree,Not in a reserve,-33.917198,151.020044,30/3/2014 10:29,shrub (5); tree (5)
Hakea lorea,Corkbark Tree,Not in a reserve,-33.899585,151.027385,26/3/2016 18:21,shrub (5); tree (5)
Hakea propinqua,,Not in a reserve,-33.929541,151.128481,9/5/2015 0:00,shrub (5); tree (2)
Hedera hibernica,Ivy,Miram-Beena,-33.9052,150.98126,26/11/2023 0:00,climber_woody (1)
Helichrysum brachycarpum,,Norfolk Reserve,-33.893604,151.062656,1/5/2004 12:00,
Helichrysum petiolare,Liquorice Plant,Not in a reserve,-33.978283,150.998016,18/9/2021 10:24,
Heliotropium amplexicaule,Blue Heliotrope,Not in a reserve,-33.913743,151.133679,27/3/2024 17:36,herb (4)
Heptapleurum arboricola,,Not in a reserve,-33.912606,151.034377,21/3/2022 0:00,shrub (1)
Heterophylla sp.,,The River Reserve,-33.969546,151.016111,1/5/2004 12:00,
Hibbertia fumana,,Not in a reserve,-33.916414,150.985179,9/11/2017 0:00,shrub (2)
Hibbertia fumana,,Not in a reserve,-33.916291,150.985377,7/12/2018 0:00,shrub (2)
Hibbertia hypericoides,Yellow Buttercups,Not in a reserve,-33.917985,151.088586,25/3/2015 0:29,shrub (6)
Hibbertia linearis,,The River Reserve,-33.969546,151.016111,1/5/2004 12:00,shrub (8)
Hibbertia linearis,,Not in a reserve,-33.973697,151.005009,18/11/2022 0:00,shrub (8)
Hibbertia riparia,,Not in a reserve,-33.979289,151.007574,17/2/2011 0:00,shrub (19)
Hibiscus brachysiphonius,Low Hibiscus,Not in a reserve,-33.93508,151.023087,18/3/2014 0:00,herb (7); shrub (4); subshrub (3)
Hibiscus mutabilis,,Not in a reserve,-33.97333,151.003377,2/5/2022 12:22,shrub (3); tree (3)
Hibiscus spp.,Hibiscus,The River Reserve,-33.969546,151.016111,1/5/2004 12:00,
Hippeastrum carinatum,,Lansdowne,-33.899442,150.976234,15/1/2025 8:03,herb (2)
Hippeastrum zephyranthum,Zephyr Lily,Crest,-33.907734,150.992084,7/4/2025 11:34,herb (3)
Histiopteris incisa,,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Histiopteris incisa,,Kelso Creek,-33.950301,150.984015,1/5/2004 12:00,
Hordeum hystrix,Mediterranean Barley-grass,Not in a reserve,-33.91509,151.084491,28/9/1968 0:00,graminoid (6); herb (5)
Hovea lanceolata,Purple Pea Bush,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Hovea purpurea,,Deepwater,-33.949972,150.977015,8/11/2006 0:00,shrub (11)
Hovea speciosa,,Not in a reserve,-33.980556,151.008333,,shrub (4)
Howea forsteriana,,Virginius Reserve,-33.95872,151.02234,15/10/2015 0:00,palmoid (1); tree (1)
Hydrocotyle tripartita,,Not in a reserve,-33.973903,151.003219,17/3/2023 15:02,herb (6)
Hydrocotyle tripartita,,Not in a reserve,-33.973114,151.003747,22/3/2025 10:44,herb (6)
Hypericum japonicum,,Kelso Beach,-33.957004,150.983918,2/4/2008 0:00,herb (11)
Hypericum spp.,St. John's Wort,Lansdowne,-33.896245,150.978391,1/5/2004 12:00,
Hypochoeris microcephala var. albiflora,White-flowered Catsear,Jenson Pk,-33.883502,151.01767,1/5/2004 12:00,
Hypochoeris microcephala var. albiflora,White-flowered Catsear,Allder Pk,-33.890474,151.007849,1/5/2004 12:00,
Hypoestes aristata,,Not in a reserve,-33.930911,151.004231,8/5/2023 9:47,herb (1); subshrub (1)
Hypoestes aristata,,Not in a reserve,-33.914993,151.125555,17/4/2024 10:51,herb (1); subshrub (1)
Hypoestes phyllostachya,Polka-dot Plant,Not in a reserve,-33.97,151.04,4/5/2020 13:00,herb (2); shrub (1); subshrub (1)
Hypolaena fastigiata,,Not in a reserve,-33.979289,151.007574,17/2/2011 0:00,graminoid (8); graminoid_not_tussock (1); herb (7)
Impatiens sp.,"Busy Lizzie, Balsam",Little Salt Pan Creek Reserve,-33.96882,151.029014,1/5/2004 12:00,
Impatiens sp.,"Busy Lizzie, Balsam",The River Reserve,-33.969546,151.016111,1/5/2004 12:00,
Ipheion uniflorum,Spring Star-flower,Not in a reserve,-33.8974,151.02433,10/9/2023 0:00,geophyte (1); herb (4)
Ipheion uniflorum,Spring Star-flower,Not in a reserve,-33.897403,151.024326,10/9/2023 12:25,geophyte (1); herb (4)
Ipomoea batatas,Sweet Potato,Not in a reserve,-33.917913,151.116308,4/4/2018 0:00,climber (1); climber_herbaceous (1)
Ipomoea carnea,,Not in a reserve,-33.916667,151.066667,2/3/1996 0:00,shrub (2)
Ipomoea muelleri,Poison Morning-glory,Not in a reserve,-33.881356,151.011158,1/4/2014 9:47,climber_herbaceous (3); herb (4)
Ipomoea muelleri,Poison Morning-glory,Not in a reserve,-33.95001,151.01016,26/3/2017 3:55,climber_herbaceous (3); herb (4)
Isachne globosa,,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Isopogon anethifolius,,Not in a reserve,-33.971963,151.012334,17/2/2010 0:00,shrub (8)
Isotoma fluviatilis,,Cnr HLD and Milperra Road,-33.931506,150.97956,1/5/2004 12:00,
Jacksonia sp.,Stinkwood,East Hills Park,-33.96446,150.982875,1/5/2004 12:00,
Juncus aridicola,,Not in a reserve,-33.883333,150.983333,22/12/1998 0:00,graminoid (6); herb (5); tussock (1)
Juncus capillaceus,String Rush,Not in a reserve,-33.928333,151.125,24/12/2013 0:00,graminoid (3); herb (2)
Juncus flavidus,,Not in a reserve,-33.956757,151.009493,23/12/1997 0:00,graminoid (6); herb (4); tussock (1)
Juncus pallidus,,Not in a reserve,-33.95,151.016667,9/3/1993 0:00,graminoid (6); herb (5); tussock (2)
Juncus pallidus,,Kentucky Reserve,-33.917469,150.974383,18/11/2016 0:00,graminoid (6); herb (5); tussock (2)
Juncus polyanthemus,,Not in a reserve,-33.878189,150.988338,10/8/1993 0:00,graminoid (4); herb (2); tussock (1)
Juncus polyanthemus,,Not in a reserve,-33.933333,151.0175,18/2/1999 0:00,graminoid (4); herb (2); tussock (1)
Juncus prismatocarpus,,Thomas Street Depot,-33.96590278,151.013035,1/5/2004 12:00,
Juncus sp. a,Rush,Lansdowne,-33.896245,150.978391,1/5/2004 12:00,
Juncus vaginatus,Clustered Rush,Davies Road,-33.955611,151.040085,26/11/2008 0:00,graminoid (3); herb (3); tussock (1)
Justicia carnea,,Not in a reserve,-33.936149,151.079869,24/3/2024 16:54,shrub (1)
Kennedia prostrata,,Not in a reserve,-33.966686,151.041687,1/10/2009 0:00,climber (2); climber_woody (1); herb (8); shrub (3)
Kniphofia uvaria,Red Hot Poker,Lansdowne,-33.896245,150.978391,1/5/2004 12:00,
Lablab purpureus,Lablab,Not in a reserve,-33.925547,151.120441,19:19.2,climber (1); climber_herbaceous (1); herb (1)
Lablab purpureus,Lablab,Not in a reserve,-33.937098,151.044789,19:35.9,climber (1); climber_herbaceous (1); herb (1)
Lactuca sativa,Lettuce,Not in a reserve,-33.883782,151.010826,7/9/2023 16:11,herb (1)
Lactuca sativa,Lettuce,Not in a reserve,-33.88378,151.01083,9/9/2023 0:00,herb (1)
Lamium amplexicaule,Deadnettle,Not in a reserve,-33.908889,151.114444,25/8/2009 0:00,herb (6)
Lasiopetalum ferrugineum var. cordatum,,Lansdowne,-33.890425,150.973275,21/11/2008 0:00,shrub (4)
Lasiopetalum ferrugineum var. cordatum,,Lansdowne,-33.89269,150.97436,21/11/2008 0:00,shrub (4)
Lasiopetalum ferrugineum var. ferrigineum,,Norfolk Reserve,-33.893604,151.062656,1/5/2004 12:00,
Lasiopetalum ferrugineum var. ferrugineum,,Flood Reserve,-33.935995,151.021996,1/5/2004 12:00,shrub (4)
Lasiopetalum macrophyllum,,Lansdowne,-33.896245,150.978391,1/5/2004 12:00,shrub (8)
Lasiopetalum macrophyllum,,Not in a reserve,-33.916667,151.033333,,shrub (8)
Lauraceae,,Lansdowne,-33.902145,150.980087,2/10/2023 12:34,
Lauraceae,,Lansdowne,-33.900397,150.978989,2/10/2023 13:06,
Leichhardtia flavescens,,Lansdowne,-33.893876,150.977407,7/3/2008 0:00,climber (2); climber_herbaceous (3); climber_woody (4)
Leionema dentatum,,Not in a reserve,-33.9,151.116667,,shrub (5); tree (4)
Leontodon rhagadioloides,Hedypnois,Not in a reserve,-33.897572,151.026428,9/9/2022 12:51,herb (9)
