Occurrence ID,Scientific Name,Event Date,Dataset Name,Reserve Name,Decimal Latitude,Decimal Longitude,Individual Count,Reproductive Condition,Establishment Means,Occurrence Remarks,Year,Month,Day,Habitat,Sampling Protocol,Locality,Location Remarks,Identified By,Date Identified,Owner Institution Code,Basis of Record,Data Generalizations,Recorded By,Client Business Name,__source,decimals,year,precision_tier
35418,Kunzea ambigua,2013-12-13T00:00:00,DPIE Data from Scientific Licences dataset,Not in a reserve,-33.929467,151.136033,,FR Fresh Fruit,,occurrenceRemarks withheld,2013.0,12.0,13.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OCAM11011800,CB Council,ALA,6,2013,<1 m (6+ dp)
26889,Einadia hastata,2011-04-13T00:00:00,ACA Vegetation Survey,Deepwater,-33.950033,150.976066,,,,occurrenceRemarks withheld,2011.0,4.0,13.0,,Floristic Data,locality withheld,locationRemarks withheld,,,Anne Clements & Associates,HUMAN_OBSERVATION,,OEMM09100802;OEMM09100803;OJJS10080400;OIXR13100400,CB Council,ALA,6,2011,<1 m (6+ dp)
32964,Acacia pubescens,2009-09-15T00:00:00,DPIE Data from Scientific Licences dataset,Norfolk Reserve,-33.893816,151.062643,,,,occurrenceRemarks withheld,2009.0,9.0,15.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP11031700,CB Council,ALA,6,2009,<1 m (6+ dp)
28790,Pimelea spicata,2010-02-11T00:00:00,DPIE Data from Scientific Licences dataset,Crest,-33.910805,150.996753,,,,occurrenceRemarks withheld,2010.0,2.0,11.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP11031700,CB Council,ALA,6,2010,<1 m (6+ dp)
38383,Eragrostis sp.,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,Thomas Street Depot,-33.96590278,151.013035,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,8,2004,<1 m (6+ dp)
1301,Austrostipa rudis subsp. rudis,2008-03-07T00:00:00,METROCMA2 Vegetation Survey,Lansdowne,-33.893876,150.977407,,,,occurrenceRemarks withheld,2008.0,3.0,7.0,,Floristic Data,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,OPJGI0002327;VEG-NICR,CB Council,ALA,6,2008,<1 m (6+ dp)
43041,Vittadinia spp.,2004-05-01T12:00:00,CondellPark Flora&Fauna Apndx4 POM,Manahan Reserve,-33.92033,151.006218,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,6,2004,<1 m (6+ dp)
35071,Cinnamomum camphora,2008-02-14T00:00:00,METROCMA2 Vegetation Survey,Not in a reserve,-33.973846,151.004433,,,introduced,occurrenceRemarks withheld,2008.0,2.0,14.0,,Floristic Data,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,VEG-NICR;OPUR23081001,CB Council,ALA,6,2008,<1 m (6+ dp)
37397,Cotoneaster glaucophyllus,2004-05-01T12:00:00,Birrong Sefton Flora&Fauna Apndx3 POM,Maluga Passive Pk,-33.894195,151.015561,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,6,2004,<1 m (6+ dp)
24719,Passiflora morifolia,2007-04-16T00:00:00,ACA Vegetation Survey,Deepwater,-33.948971,150.973462,,,introduced,occurrenceRemarks withheld,2007.0,4.0,16.0,,Floristic Data,locality withheld,locationRemarks withheld,,,Anne Clements & Associates,HUMAN_OBSERVATION,,ODMP05122005;OEMM09100802;OPUR23021400,CB Council,ALA,6,2007,<1 m (6+ dp)
9147,Bursaria spinosa,2024-12-24T14:57:17,iNaturalist research-grade observations,Not in a reserve,-33.98168,151.006286,,flower buds,,,2024.0,12.0,24.0,,,,,Michael Mahoney,2024-12-24T04:53:47Z,,HUMAN_OBSERVATION,,Michael Mahoney,CB Council,iNaturalist,6,2024,<1 m (6+ dp)
29100,Acacia pubescens,2009-12-10T00:00:00,DPIE Data from Scientific Licences dataset,Norfolk Reserve,-33.894006,151.062704,,,,occurrenceRemarks withheld,2009.0,12.0,10.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP11031700,CB Council,ALA,6,2009,<1 m (6+ dp)
9653,Hakea sericea,2022-06-27T14:21:00,iNaturalist research-grade observations,Not in a reserve,-33.97308,151.02861,,fruits or seeds,,,2022.0,6.0,27.0,,,,,Bradley W. Jones,2022-06-27T08:14:25Z,,HUMAN_OBSERVATION,,Bradley W. Jones,CB Council,iNaturalist,5,2022,≈1–10 m (5 dp)
9200,Persoonia levis,2022-08-19T14:13:51,iNaturalist research-grade observations,Not in a reserve,-33.929632,151.127278,,fruits or seeds,,,2022.0,8.0,19.0,,,,,Cal McKinley,2022-08-19T04:26:34Z,,HUMAN_OBSERVATION,,Cal McKinley,CB Council,iNaturalist,6,2022,<1 m (6+ dp)
40097,Ligustrum sinense,2004-05-01T12:00:00,Milperra area Flora&Fauna Apndx5 POM,"Lot 5, Prescot Parade Prescot Parade",-33.9447853,150.9769274,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,7,2004,<1 m (6+ dp)
3916,Leichhardtia viridiflora subsp. viridiflora,2009-10-22T00:00:00,DPIE Data from Scientific Licences dataset,Lansdowne,-33.893755,150.9753,,,,occurrenceRemarks withheld,2009.0,10.0,22.0,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,ODMP11031700,CB Council,ALA,6,2009,<1 m (6+ dp)
7679,Acacia brownii,2019-08-27T12:15:17,iNaturalist research-grade observations,Not in a reserve,-33.971307,151.028909,,,,,2019.0,8.0,27.0,,,,,Guy Taseski,2019-08-27T10:51:01Z,,HUMAN_OBSERVATION,,Guy Taseski,CB Council,iNaturalist,6,2019,<1 m (6+ dp)
10161,Actinotus helianthi,2022-10-14T13:15:00,iNaturalist research-grade observations,Not in a reserve,-33.971462,151.040367,,flowers|flower buds,,,2022.0,10.0,14.0,,,,,Bradley W. Jones,2022-10-14T05:44:12Z,,HUMAN_OBSERVATION,,Bradley W. Jones,CB Council,iNaturalist,6,2022,<1 m (6+ dp)
41891,Pomaderris lanigera,2004-05-01T12:00:00,Southern Reserves Flora&Fauna Apndx4 POM,Lambeth Reserve,-33.971772,150.996708,,,,,2004,5,1,,,,,,,,,,,CB Council,Prototype,6,2004,<1 m (6+ dp)
21748,Pterostylis longifolia,2009-04-23T00:00:00,BANKS_VEG Vegetation Survey,Not in a reserve,-33.97967,151.00081,,,,occurrenceRemarks withheld,2009.0,4.0,23.0,,Floristic Data,locality withheld,locationRemarks withheld,,,Bankstown City Council,HUMAN_OBSERVATION,,OJJS07082200;ODMP08080503,CB Council,ALA,5,2009,≈1–10 m (5 dp)
7251,Doryanthes excelsa,2022-09-27T12:05:00,iNaturalist research-grade observations,Not in a reserve,-33.898189,151.035172,,,,,2022.0,9.0,27.0,,,,,Thomas Mesaglio,2022-09-27T03:54:03Z,,HUMAN_OBSERVATION,,Thomas Mesaglio,CB Council,iNaturalist,6,2022,<1 m (6+ dp)
19197,Hypochaeris radicata,1999-05-05T00:00:00,GEORGES Vegetation Survey,Not in a reserve,-33.973341,151.009964,,,introduced,occurrenceRemarks withheld,1999.0,5.0,5.0,,Floristic Data,locality withheld,locationRemarks withheld,,,NSW Dept of Planning and Environment,HUMAN_OBSERVATION,,OVLU99062101;OSLS05031800,CB Council,ALA,6,1999,<1 m (6+ dp)
35304,Jacaranda mimosifolia,2008-04-30T00:00:00,DPIE Data from Scientific Licences dataset,Norfolk Reserve,-33.893591,151.06261,,,introduced,occurrenceRemarks withheld,2008.0,,,,,locality withheld,locationRemarks withheld,,,NSW National Parks and Wildlife Service,HUMAN_OBSERVATION,,OJJS07082200,CB Council,ALA,6,2008,<1 m (6+ dp)
