reserve_id,asset_name,location,suburb,asset_type,asset_sub_type,asset_class,shape_file_name,shape_file_path
116,Rotary Park,"42A Allingham Street, Condell Park",Condell Park,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
117,"Unnamed Reserve, Diana Avenue","4 Diana Avenue, Roselands",Roselands,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
118,Gibson Reserve,"166 Canterbury Road, Bankstown",Bankstown,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
119,Scott Reserve,"1292 Canterbury Road, Roselands",Roselands,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
120,"Unnamed Reserve, Prescott Parade","40 Prescott Parade, Milperra",Milperra,Bushland,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
121,Turrella Reserve,"4 Wavell Parade, Earlwood",Earlwood,"Bushland, Passive",Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
122,Bungalow Road Reserve,"109C Stoddart Street, Roselands",Roselands,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
123,Malvern Reserve,"96 Malvern Street, Panania",Panania,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
124,Fairland Reserve,"8A Fairland Avenue, Greenacre",Greenacre,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
125,Bushland on corner Henry Lawson Drive and Milperra Road,"435 Henry Lawson Drive, Milperra",Milperra,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
126,Horsley Reserve,"243 Horsley Road, Panania",Panania,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
