occurrence_id,scientific_name,decimal_latitude,decimal_longitude,reserve_id,pct_id,missing_reserve,missing_pct
135,Leptospermum petersonii,-33.909682,150.980042,530.0,9.0,False,False
136,Glycine,-33.909505,150.980403,530.0,9.0,False,False
137,Aristida vagans,-33.90968,150.980562,530.0,9.0,False,False
138,Plantae,-33.909742,150.979803,530.0,9.0,False,False
139,Dichelachne,-33.90976,150.980163,530.0,9.0,False,False
140,Erythrina crista-galli,-33.909999,150.974628,535.0,4.0,False,False
141,Alphitonia excelsa,-33.909449,150.980152,530.0,9.0,False,False
142,Avicennia marina,-33.906887,150.979417,530.0,21.0,False,False
143,Modiola caroliniana,-33.909351,150.975189,535.0,1.0,False,False
144,Solanum pseudocapsicum,-33.908488,150.978225,,21.0,True,False
145,Eremophila debilis,-33.910177,150.979105,,9.0,True,False
146,Bursaria spinosa,-33.909647,150.980262,530.0,9.0,False,False
147,Eremophila debilis,-33.909056,150.97981,530.0,9.0,False,False
148,Tricoryne elatior,-33.90903,150.980022,530.0,9.0,False,False
149,Bidens pilosa,-33.907573,150.973541,535.0,4.0,False,False
150,Paronychia brasiliana,-33.909534,150.975616,535.0,4.0,False,False
151,Eucalyptus moluccana,-33.90979,150.980354,530.0,9.0,False,False
152,Calotis lappulacea,-33.9095,150.980248,530.0,9.0,False,False
153,Commelina cyanea,-33.908958,150.975783,,1.0,True,False
154,Solanum prinophyllum,-33.9093,150.979733,530.0,9.0,False,False
155,Chloris ventricosa,-33.909634,150.979996,530.0,9.0,False,False
156,Melia azedarach,-33.909786,150.979767,530.0,9.0,False,False
157,Persicaria decipiens,-33.907078,150.981475,530.0,1.0,False,False
158,Richardia stellaris,-33.908623,150.980591,530.0,9.0,False,False
159,Brachychiton populneus,-33.909723,150.978936,530.0,9.0,False,False
160,Ozothamnus diosmifolius,-33.909828,150.980164,530.0,9.0,False,False
161,Canna indica,-33.909466,150.97493,535.0,1.0,False,False
162,Commelina cyanea,-33.908263,150.981475,530.0,1.0,False,False
163,Paspalidium distans,-33.908876,150.980361,530.0,9.0,False,False
164,Chloris,-33.909551,150.980285,530.0,9.0,False,False
165,Plantago lanceolata,-33.910076,150.974762,535.0,1.0,False,False
166,Solenogyne dominii,-33.908623,150.980591,530.0,9.0,False,False
167,Breynia oblongifolia,-33.909599,150.979324,530.0,9.0,False,False
168,Lomandra longifolia,-33.909577,150.980358,530.0,9.0,False,False
169,Bossiaea prostrata,-33.909714,150.980515,530.0,9.0,False,False
170,Eremophila debilis,-33.909583,150.980226,530.0,9.0,False,False
171,Eucalyptus baueriana,-33.906906,150.978891,,,True,True
172,Bidens pilosa,-33.908945,150.978103,530.0,1.0,False,False
173,Opercularia diphylla,-33.909701,150.980252,530.0,9.0,False,False
174,Melaleuca linariifolia,-33.909466,150.980139,530.0,9.0,False,False
175,Indigofera australis,-33.909599,150.979324,530.0,9.0,False,False
176,Paspalidium distans,-33.909507,150.98036,530.0,9.0,False,False
177,Acacia parvipinnula,-33.909611,150.980652,530.0,9.0,False,False
178,Alphitonia excelsa,-33.909599,150.979324,530.0,9.0,False,False
179,Entolasia stricta,-33.909651,150.980151,530.0,9.0,False,False
180,Asperula conferta,-33.90896,150.979842,530.0,9.0,False,False
181,Senna pendula var. glabrata,-33.909599,150.979324,530.0,9.0,False,False
182,Mentha satureioides,-33.909588,150.97724,530.0,1.0,False,False
183,Acacia parvipinnula,-33.908735,150.979978,530.0,9.0,False,False
184,Brachychiton populneus,-33.908147,150.9785,530.0,21.0,False,False
185,Casuarina glauca,-33.909172,150.980045,530.0,9.0,False,False
186,Asperula conferta,-33.908539,150.981231,530.0,9.0,False,False
187,Megathyrsus maximus,-33.910022,150.976897,535.0,1.0,False,False
188,Rumex sagittatus,-33.90902,150.9758,,1.0,True,False
189,Megathyrsus maximus,-33.909627,150.97899,530.0,9.0,False,False
190,Dillwynia sieberi,-33.909171,150.980427,530.0,9.0,False,False
191,Phyllanthus virgatus,-33.908799,150.979939,530.0,9.0,False,False
192,Dysphania,-33.909534,150.975616,535.0,4.0,False,False
193,Indigofera australis,-33.909687,150.97902,530.0,9.0,False,False
194,Arthropodium,-33.909323,150.980251,530.0,9.0,False,False
195,Lomandra longifolia,-33.909612,150.980183,530.0,9.0,False,False
196,Afrohybanthus stellarioides,-33.909283,150.980885,530.0,9.0,False,False
197,Arthropodium,-33.908905,150.980632,530.0,9.0,False,False
198,Centella asiatica,-33.910076,150.974762,535.0,1.0,False,False
199,Eucalyptus moluccana,-33.908604,150.980583,530.0,9.0,False,False
200,Persicaria lapathifolia,-33.907483,150.97377,535.0,4.0,False,False
201,Alphitonia excelsa,-33.909682,150.979464,530.0,9.0,False,False
202,Senecio,-33.909369,150.980953,530.0,9.0,False,False
203,Cheilanthes sieberi,-33.909702,150.980392,530.0,9.0,False,False
204,Acacia fimbriata,-33.909637,150.979828,530.0,9.0,False,False
205,Alphitonia excelsa,-33.909459,150.979847,530.0,9.0,False,False
206,Dianella caerulea,-33.909208,150.980471,530.0,9.0,False,False
207,Tradescantia fluminensis,-33.909337,150.977355,530.0,4.0,False,False
208,Aegiceras corniculatum,-33.909047,150.9758,,1.0,True,False
209,Cardiospermum grandiflorum,-33.910076,150.974762,535.0,1.0,False,False
210,Erythrina crista-galli,-33.907572,150.980864,530.0,4.0,False,False
211,Jacaranda mimosifolia,-33.909775,150.980316,530.0,9.0,False,False
212,Chloris gayana,-33.909897,150.9747,535.0,4.0,False,False
213,Myrtaceae,-33.90802,150.979553,530.0,1.0,False,False
214,Cirsium vulgare,-33.909786,150.979767,530.0,9.0,False,False
215,Arctotheca calendula,-33.909618,150.97525,535.0,1.0,False,False
216,Polyscias sambucifolia,-33.909797,150.979183,530.0,9.0,False,False
217,Glycine tabacina,-33.909522,150.980339,530.0,9.0,False,False
218,Breynia oblongifolia,-33.909131,150.980585,530.0,9.0,False,False
219,Phragmites australis,-33.908237,150.978408,530.0,21.0,False,False
220,Acacia decurrens,-33.909828,150.980164,530.0,9.0,False,False
221,Dichondra repens,-33.909351,150.975189,535.0,1.0,False,False
222,Aristida,-33.909111,150.980835,530.0,9.0,False,False
223,Arthropodium,-33.90976,150.980163,530.0,9.0,False,False
224,Celtis australis,-33.909389,150.979748,530.0,9.0,False,False
225,Dichondra repens,-33.909646,150.980325,530.0,9.0,False,False
226,Arthropodium,-33.908982,150.979682,530.0,9.0,False,False
227,Acacia podalyriifolia,-33.908611,150.98056,530.0,9.0,False,False
228,Ligustrum lucidum,-33.908829,150.980637,530.0,9.0,False,False
229,Polycarpon tetraphyllum,-33.909351,150.975189,535.0,1.0,False,False
230,Acacia fimbriata,-33.908624,150.980595,530.0,9.0,False,False
231,Acacia falcata,-33.909465,150.98026,530.0,9.0,False,False
232,Solanum seaforthianum,-33.90931,150.977872,530.0,1.0,False,False
233,Eremophila debilis,-33.909443,150.980301,530.0,9.0,False,False
234,Polymeria calycina,-33.909423,150.980255,530.0,9.0,False,False
235,Lomandra multiflora,-33.909624,150.980238,530.0,9.0,False,False
236,Euchiton sphaericus,-33.908928,150.980764,530.0,9.0,False,False
237,Asperula conferta,-33.909416,150.980902,530.0,9.0,False,False
238,Melia azedarach,-33.909952,150.979285,530.0,9.0,False,False
239,Avicennia marina,-33.907646,150.974597,535.0,4.0,False,False
240,Eragrostis curvula,-33.90976,150.980163,530.0,9.0,False,False
241,Acacia fimbriata,-33.909827,150.979759,530.0,9.0,False,False
242,Solanum seaforthianum,-33.909437,150.976837,535.0,21.0,False,False
243,Cheilanthes sieberi,-33.909633,150.980253,530.0,9.0,False,False
244,Solanum nigrum,-33.90728,150.973604,535.0,4.0,False,False
245,Themeda triandra,-33.909828,150.980164,530.0,9.0,False,False
246,Brunoniella australis,-33.90882,150.981281,530.0,9.0,False,False
247,Dillwynia sieberi,-33.909256,150.980587,530.0,9.0,False,False
248,Einadia hastata,-33.909523,150.97525,535.0,1.0,False,False
249,Senecio madagascariensis,-33.909828,150.980164,530.0,9.0,False,False
250,Aegiceras corniculatum,-33.910267,150.974854,535.0,1.0,False,False
251,Melaleuca armillaris,-33.909465,150.980857,530.0,9.0,False,False
252,Eucalyptus,-33.907922,150.98047,530.0,1.0,False,False
253,Bacopa monnieri,-33.910267,150.974854,535.0,1.0,False,False
254,Goodenia hederacea,-33.909344,150.980669,530.0,9.0,False,False
255,Stackhousia viminea,-33.909268,150.980879,530.0,9.0,False,False
256,Eucalyptus,-33.908158,150.974395,535.0,1.0,False,False
257,Aristida,-33.909209,150.980555,530.0,9.0,False,False
258,Bossiaea prostrata,-33.909567,150.980356,530.0,9.0,False,False
259,Chloris ventricosa,-33.909069,150.97987,530.0,9.0,False,False
260,Anredera cordifolia,-33.909612,150.976928,530.0,4.0,False,False
261,Schinus molle var. areira,-33.907248,150.974049,535.0,21.0,False,False
262,Ozothamnus diosmifolius,-33.909565,150.980349,530.0,9.0,False,False
263,Solanum seaforthianum,-33.908478,150.978195,,21.0,True,False
264,Melaleuca,-33.909371,150.980482,530.0,9.0,False,False
265,Plumbago auriculata,-33.909842,150.97934,530.0,9.0,False,False
266,Oxalis latifolia,-33.908611,150.98056,530.0,9.0,False,False
267,Opercularia diphylla,-33.909775,150.980316,530.0,9.0,False,False
268,Melia azedarach,-33.909442,150.976883,530.0,21.0,False,False
269,Calotis cuneifolia,-33.909573,150.980484,530.0,9.0,False,False
270,Nothoscordum gracile,-33.907513,150.980255,530.0,1.0,False,False
271,Calotis cuneifolia,-33.909489,150.980583,530.0,9.0,False,False
272,Acacia parramattensis,-33.906772,150.981567,530.0,1.0,False,False
273,Senecio pterophorus,-33.909775,150.978387,530.0,9.0,False,False
274,Solanum seaforthianum,-33.909438,150.976853,535.0,21.0,False,False
275,Caesia parviflora var. vittata,-33.90976,150.980163,530.0,9.0,False,False
276,Eriobotrya japonica,-33.909813,150.979538,530.0,9.0,False,False
277,Asparagus aethiopicus,-33.910267,150.974854,535.0,1.0,False,False
278,Acacia fimbriata,-33.908611,150.98056,530.0,9.0,False,False
279,Daviesia ulicifolia,-33.909481,150.980441,530.0,9.0,False,False
280,Calotis lappulacea,-33.909733,150.978897,530.0,9.0,False,False
281,Acacia decurrens,-33.909813,150.979538,530.0,9.0,False,False
282,Oxalis,-33.90937,150.977372,530.0,4.0,False,False
283,Calotis lappulacea,-33.909252,150.980968,530.0,9.0,False,False
284,Senecio pterophorus,-33.909344,150.978745,530.0,9.0,False,False
285,Tetragonia tetragonoides,-33.908997,150.980809,530.0,9.0,False,False
286,Daviesia ulicifolia,-33.909235,150.979991,530.0,9.0,False,False
287,Aristida vagans,-33.909495,150.980396,530.0,9.0,False,False
288,Nassella neesiana,-33.91,150.98,530.0,9.0,False,False
289,Nassella neesiana,-33.91,150.98,530.0,9.0,False,False
290,Opuntia monacantha,-33.91,150.98,530.0,9.0,False,False
291,Sagittaria platyphylla,-33.91,150.98,530.0,9.0,False,False
292,Asparagus aethiopicus,-33.91,150.98,530.0,9.0,False,False
293,Asparagus virgatus,-33.91,150.98,530.0,9.0,False,False
294,Persicaria chinensis,-33.91,150.98,530.0,9.0,False,False
295,Nassella neesiana,-33.91,150.98,530.0,9.0,False,False
296,Nassella neesiana,-33.91,150.98,530.0,9.0,False,False
297,Senecio madagascariensis,-33.91,150.98,530.0,9.0,False,False
298,Alternanthera philoxeroides,-33.91,150.98,530.0,9.0,False,False
299,Ludwigia peruviana,-33.91,150.98,530.0,9.0,False,False
300,Opuntia dillenii,-33.91,150.98,530.0,9.0,False,False
301,Nassella neesiana,-33.91,150.98,530.0,9.0,False,False
302,Sagittaria platyphylla,-33.91,150.98,530.0,9.0,False,False
303,Cestrum parqui,-33.91,150.98,530.0,9.0,False,False
304,Senecio madagascariensis,-33.91,150.98,530.0,9.0,False,False
305,Asparagus aethiopicus,-33.91,150.98,530.0,9.0,False,False
306,Rubus fruticosus,-33.91,150.98,530.0,9.0,False,False
307,Sagittaria platyphylla,-33.91,150.98,530.0,9.0,False,False
308,Alternanthera philoxeroides,-33.91,150.98,530.0,9.0,False,False
309,Asparagus aethiopicus,-33.91,150.98,530.0,9.0,False,False
310,Cestrum parqui,-33.91,150.98,530.0,9.0,False,False
311,Ludwigia peruviana,-33.91,150.98,530.0,9.0,False,False
312,Asparagus aethiopicus,-33.91,150.98,530.0,9.0,False,False
313,Nassella neesiana,-33.91,150.98,530.0,9.0,False,False
314,Sagittaria platyphylla,-33.91,150.98,530.0,9.0,False,False
315,Opuntia monacantha,-33.91,150.98,530.0,9.0,False,False
316,Asparagus aethiopicus,-33.91,150.98,530.0,9.0,False,False
317,Lantana camara,-33.91,150.98,530.0,9.0,False,False
318,Lantana camara,-33.91,150.98,530.0,9.0,False,False
319,Bauhinia,-33.909,150.976639,,,True,True
320,Leontodon saxatilis,-33.909506,150.979817,530.0,9.0,False,False
321,Rytidosperma tenuius,-33.909909,150.979481,530.0,9.0,False,False
322,Araujia sericifera,-33.908598,150.974971,535.0,1.0,False,False
323,Acacia falcata,-33.909909,150.979481,530.0,9.0,False,False
324,Morus alba,-33.908598,150.974971,535.0,1.0,False,False
325,Lomandra longifolia,-33.908406,150.980748,530.0,1.0,False,False
326,Ozothamnus diosmifolius,-33.909909,150.979481,530.0,9.0,False,False
327,Eremophila debilis,-33.909909,150.979481,530.0,9.0,False,False
328,Modiola caroliniana,-33.908598,150.974971,535.0,1.0,False,False
329,Araujia sericifera,-33.908406,150.980748,530.0,1.0,False,False
330,Microlaena stipoides,-33.908598,150.974971,535.0,1.0,False,False
331,Paspalum dilatatum,-33.908406,150.980748,530.0,1.0,False,False
