OBJECTID,PCTID,Shape_Leng,Shape_Area,labels,PCTName,vegForm,vegClass,form_PCT
321707,3262,5708.954542923483132,79279.195676264323993,PCT : 3262,Sydney Turpentine Ironbark Forest,Wet Sclerophyll Forests (Grassy sub-formation),Northern Hinterland Wet Sclerophyll Forests,(Wet Sclerophyll Forests (Grassy sub-formation)) Sydney Turpentine Ironbark Forest
321708,3262,4949.430041364335011,45677.796457196694973,PCT : 3262,Sydney Turpentine Ironbark Forest,Wet Sclerophyll Forests (Grassy sub-formation),Northern Hinterland Wet Sclerophyll Forests,(Wet Sclerophyll Forests (Grassy sub-formation)) Sydney Turpentine Ironbark Forest
321709,3262,4995.010181118026594,76926.768600924944622,PCT : 3262,Sydney Turpentine Ironbark Forest,Wet Sclerophyll Forests (Grassy sub-formation),Northern Hinterland Wet Sclerophyll Forests,(Wet Sclerophyll Forests (Grassy sub-formation)) Sydney Turpentine Ironbark Forest
321710,3262,3349.432244805744631,36640.108719258663768,PCT : 3262,Sydney Turpentine Ironbark Forest,Wet Sclerophyll Forests (Grassy sub-formation),Northern Hinterland Wet Sclerophyll Forests,(Wet Sclerophyll Forests (Grassy sub-formation)) Sydney Turpentine Ironbark Forest
321711,3320,3953.428836324111671,32732.610434158887074,PCT : 3320,Cumberland Shale Plains Woodland,Grassy Woodlands,Coastal Valley Grassy Woodlands,(Grassy Woodlands) Cumberland Shale Plains Woodland
321822,3448,5834.664387330153659,184296.900252880819608,PCT : 3448,Castlereagh Ironbark Forest,Dry Sclerophyll Forests (Shrub/grass sub-formation),Cumberland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrub/grass sub-formation)) Castlereagh Ironbark Forest
321823,3448,5421.297282599826758,96778.081953020417131,PCT : 3448,Castlereagh Ironbark Forest,Dry Sclerophyll Forests (Shrub/grass sub-formation),Cumberland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrub/grass sub-formation)) Castlereagh Ironbark Forest
321824,3448,4466.674859624970850,48932.974278262969165,PCT : 3448,Castlereagh Ironbark Forest,Dry Sclerophyll Forests (Shrub/grass sub-formation),Cumberland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrub/grass sub-formation)) Castlereagh Ironbark Forest
321825,3448,5433.364957228403000,90924.451055094628828,PCT : 3448,Castlereagh Ironbark Forest,Dry Sclerophyll Forests (Shrub/grass sub-formation),Cumberland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrub/grass sub-formation)) Castlereagh Ironbark Forest
321826,3448,5760.483213900643932,108971.382872178437538,PCT : 3448,Castlereagh Ironbark Forest,Dry Sclerophyll Forests (Shrub/grass sub-formation),Cumberland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrub/grass sub-formation)) Castlereagh Ironbark Forest
321827,3448,5868.346120797989897,94054.502606091380585,PCT : 3448,Castlereagh Ironbark Forest,Dry Sclerophyll Forests (Shrub/grass sub-formation),Cumberland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrub/grass sub-formation)) Castlereagh Ironbark Forest
321828,3448,5925.103858370890521,120601.193087932057097,PCT : 3448,Castlereagh Ironbark Forest,Dry Sclerophyll Forests (Shrub/grass sub-formation),Cumberland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrub/grass sub-formation)) Castlereagh Ironbark Forest
321829,3448,5952.867045614032577,89611.022948685713345,PCT : 3448,Castlereagh Ironbark Forest,Dry Sclerophyll Forests (Shrub/grass sub-formation),Cumberland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrub/grass sub-formation)) Castlereagh Ironbark Forest
321830,3448,5919.731248804859206,91004.219069421189488,PCT : 3448,Castlereagh Ironbark Forest,Dry Sclerophyll Forests (Shrub/grass sub-formation),Cumberland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrub/grass sub-formation)) Castlereagh Ironbark Forest
321831,3448,6557.670830174661205,79033.388471755708451,PCT : 3448,Castlereagh Ironbark Forest,Dry Sclerophyll Forests (Shrub/grass sub-formation),Cumberland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrub/grass sub-formation)) Castlereagh Ironbark Forest
321832,3448,1553.084622703011291,12583.564863615489230,PCT : 3448,Castlereagh Ironbark Forest,Dry Sclerophyll Forests (Shrub/grass sub-formation),Cumberland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrub/grass sub-formation)) Castlereagh Ironbark Forest
322151,3592,3454.545175118164479,65251.417837762630370,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322152,3592,5839.784797837181941,105540.052517217249260,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322153,3592,4047.932050966900533,54765.541064825651119,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322155,3592,4615.021702460820052,71107.390283006418031,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322156,3592,5199.401597448829307,81379.335201633104589,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322158,3592,4228.160303727028804,69710.140311339724576,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322159,3592,5814.022221279964469,143622.633377865480725,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322162,3592,5612.413674963493577,157573.048462209815625,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322164,3592,5007.488188913452177,114717.417729365930427,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322165,3592,5432.838128454039179,102902.628603636767366,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322167,3592,3821.662725802930709,65009.676518742075132,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322169,3592,4895.506050197535842,86176.799999768016278,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322170,3592,2883.082370245595939,47987.879601622815244,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322171,3592,4326.762166946517027,81013.292418663913850,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322173,3592,5761.939169789534390,100483.474326476134593,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322174,3592,5317.110651151614547,97469.442555386020103,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322175,3592,4751.343525297026645,73047.208013639130513,PCT : 3592,Sydney Coastal Enriched Sandstone Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Enriched Sandstone Forest
322901,3594,4649.525941674979549,57220.565420665538113,PCT : 3594,Sydney Coastal Sandstone Foreshores Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Sandstone Foreshores Forest
322902,3594,4694.988283947354830,76350.033241754863411,PCT : 3594,Sydney Coastal Sandstone Foreshores Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Sandstone Foreshores Forest
322903,3594,5744.975196713611695,130514.931396537242108,PCT : 3594,Sydney Coastal Sandstone Foreshores Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Sandstone Foreshores Forest
323376,3595,5580.734568668956854,93195.564001820530393,PCT : 3595,Sydney Coastal Sandstone Gully Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Sandstone Gully Forest
323377,3595,5686.457190125071975,114356.895561539582559,PCT : 3595,Sydney Coastal Sandstone Gully Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Coastal Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Coastal Sandstone Gully Forest
323453,3615,5230.133793957726994,50181.989059793137130,PCT : 3615,Sydney Hinterland Apple-Blackbutt Gully Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Apple-Blackbutt Gully Forest
323456,3615,6047.566016227076034,111729.434986405714881,PCT : 3615,Sydney Hinterland Apple-Blackbutt Gully Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Apple-Blackbutt Gully Forest
323458,3615,4172.767144437086245,114858.713520815945230,PCT : 3615,Sydney Hinterland Apple-Blackbutt Gully Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Apple-Blackbutt Gully Forest
323459,3615,5061.247216984706029,96884.421499642397976,PCT : 3615,Sydney Hinterland Apple-Blackbutt Gully Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Apple-Blackbutt Gully Forest
323460,3615,5571.797700577657452,203717.349731151392916,PCT : 3615,Sydney Hinterland Apple-Blackbutt Gully Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Apple-Blackbutt Gully Forest
323465,3615,4544.667173834743153,127916.977752258433611,PCT : 3615,Sydney Hinterland Apple-Blackbutt Gully Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Apple-Blackbutt Gully Forest
323599,3619,4548.806748918663288,133069.370912486891029,PCT : 3619,Sydney Hinterland Enriched Sandstone Bloodwood Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Enriched Sandstone Bloodwood Forest
323600,3619,5056.684380191116361,133668.903127860743552,PCT : 3619,Sydney Hinterland Enriched Sandstone Bloodwood Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Enriched Sandstone Bloodwood Forest
323602,3619,5649.705315210141634,129363.243678293452831,PCT : 3619,Sydney Hinterland Enriched Sandstone Bloodwood Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Enriched Sandstone Bloodwood Forest
323604,3619,4063.313322064196200,179043.974625247647054,PCT : 3619,Sydney Hinterland Enriched Sandstone Bloodwood Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Enriched Sandstone Bloodwood Forest
323605,3619,4081.049103890622064,119454.597944648819976,PCT : 3619,Sydney Hinterland Enriched Sandstone Bloodwood Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Enriched Sandstone Bloodwood Forest
323607,3619,6241.915188010200836,196438.909760253998684,PCT : 3619,Sydney Hinterland Enriched Sandstone Bloodwood Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Enriched Sandstone Bloodwood Forest
323608,3619,3914.296180540636669,171513.800444952154066,PCT : 3619,Sydney Hinterland Enriched Sandstone Bloodwood Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Enriched Sandstone Bloodwood Forest
323611,3619,4516.191396960309248,207517.424265144945821,PCT : 3619,Sydney Hinterland Enriched Sandstone Bloodwood Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Enriched Sandstone Bloodwood Forest
323612,3619,5503.609140708267660,116542.349882650858490,PCT : 3619,Sydney Hinterland Enriched Sandstone Bloodwood Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Enriched Sandstone Bloodwood Forest
323613,3619,4274.775111719351116,149651.240580963087268,PCT : 3619,Sydney Hinterland Enriched Sandstone Bloodwood Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Enriched Sandstone Bloodwood Forest
323614,3619,6269.795124359815418,96314.905609626526712,PCT : 3619,Sydney Hinterland Enriched Sandstone Bloodwood Forest,Dry Sclerophyll Forests (Shrubby sub-formation),Sydney Hinterland Dry Sclerophyll Forests,(Dry Sclerophyll Forests (Shrubby sub-formation)) Sydney Hinterland Enriched Sandstone Bloodwood Forest
