Species Name,Family,Genus,Local Status,Fire Traits
Leptospermum grandifolium,,,,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_flowering': '36 (1)'}"
Lomandra hystrix,,,,"{'resprouting_capacity': 'resprouts (g)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)'}"
Lythrum hyssopifolia,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (3)'}"
Melaleuca armillaris,,,,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'resprouts (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'resprouting_capacity_proportion_individuals': '0 (1); 0.00279069767 (1); 0.14 (1); 0.279069767 (1); 0.31 (1); 0.63 (1)'}"
Melaleuca hypericifolia,,,,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'partial_resprouting (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)'}"
Mentha satureioides,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'resprouts (2)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)'}"
Microtis parviflora,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'post_fire_flowering': 'fire_enhanced_flowering (f)', 'resprouting_capacity': 'resprouts (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)', 'fire_time_from_fire_to_flowering': '12 (2)'}"
Mirbelia speciosa,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)'}"
Myriophyllum variifolium,,,,"{'resprouting_capacity': 'resprouts (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)'}"
Paspalidium caespitosum,,,,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'resprouts (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (f)', 'resprouting_capacity_proportion_individuals': '1 (f)', 'fire_time_from_fire_to_flowering': '12 (f)'}"
Pelargonium australe,,,,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_flowering': '12 (1); 6 (1)'}"
Petrophile pulchella,,,,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'fire_time_from_fire_to_flowering': '36.2790697674419 (1); 60.4651162790698 (1)', 'fire_time_from_fire_to_fruiting': '44.4186046511628 (1)'}"
Philotheca hispidula,,,,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'fire_killed (1); partial_resprouting (1)'}"
Pomaderris elliptica,,,,"{'resprouting_capacity': 'fire_killed (3)', 'fire_time_from_fire_to_flowering': '45.3488372093023 (1)'}"
Potamogeton sulcatus,,,,"{'resprouting_capacity': 'resprouts (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)'}"
Pterostylis bicolor,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (f)', 'post_fire_flowering': 'fire_enhanced_flowering (f)', 'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)', 'fire_time_from_fire_to_flowering': '12 (f)'}"
Pterostylis curta,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (f)', 'post_fire_flowering': 'fire_enhanced_flowering (f)', 'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)', 'fire_time_from_fire_to_flowering': '12 (f)'}"
Pterostylis oblonga,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (f)', 'post_fire_flowering': 'fire_enhanced_flowering (f)', 'resprouting_capacity': 'resprouts (g)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (g)', 'resprouting_capacity_juvenile': 'juvenile_resprout (f)', 'fire_time_from_fire_to_flowering': '12 (f)'}"
Pterostylis pedunculata,,,,"{'post_fire_recruitment': 'post_fire_recruitment_absent (f)', 'post_fire_flowering': 'fire_enhanced_flowering (f)', 'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)', 'fire_time_from_fire_to_flowering': '12 (f)'}"
