Species Name,Family,Genus,Local Status,Fire Traits
Acacia saligna,Fabaceae,Acacia,exotic,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'resprouts (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_fruiting': '33.7209302325581 (1)', 'fire_time_from_fire_to_flowering': '32.5581395348837 (1); 36 (1)', 'fire_time_from_fire_to_flowering_decline': '72 (1)', 'fire_time_from_fire_to_peak_flowering': '48 (1)'}"
Acacia schinoides,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (1)', 'resprouting_capacity': 'fire_killed (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)', 'fire_time_from_fire_to_fruiting': '54.6511627906977 (1)', 'fire_time_from_fire_to_flowering': '35.8139534883721 (1); 60.4651162790698 (1)'}"
Acacia stricta,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)'}"
Acacia suaveolens,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_fruiting': '22.5581395348837 (1)', 'fire_time_from_fire_to_flowering': '16.5116279069767 (1); 24.1860465116279 (1)', 'fire_time_from_fire_to_peak_flowering': '24 (1); 48 (1)'}"
Acacia terminalis,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (3)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_fruiting': '34.6511627906977 (1)', 'fire_time_from_fire_to_flowering': '21.1627906976744 (1); 36.2790697674419 (1)', 'fire_time_from_fire_to_peak_flowering': '36 (1); 48 (1)'}"
Acacia ulicifolia,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (3)', 'resprouting_capacity': 'fire_killed (V)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (1)', 'fire_time_from_fire_to_fruiting': '23.4883720930233 (1)', 'fire_time_from_fire_to_flowering': '15.5813953488372 (1); 24.1860465116279 (1); 36.2790697674419 (1)', 'fire_time_from_fire_to_peak_flowering': '36 (1); 60 (1)'}"
Acacia vestita,Fabaceae,Acacia,native,"{'post_fire_recruitment': 'post_fire_recruitment (g)', 'resprouting_capacity': 'fire_killed (1)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (g)'}"
Acer negundo,Sapindaceae,Acer,Exotic,{'resprouting_capacity': 'resprouts (1)'}
Acianthus caudatus,Orchidaceae,Acianthus,native,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'post_fire_flowering': 'fire_enhanced_flowering (1)', 'resprouting_capacity': 'resprouts (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)', 'fire_time_from_fire_to_fruiting': '8.83720930232558 (1)', 'fire_time_from_fire_to_flowering': '12 (1); 6.51162790697674 (1)'}"
Acianthus exsertus,Orchidaceae,Acianthus,native,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'post_fire_flowering': 'fire_enhanced_flowering (f)', 'resprouting_capacity': 'resprouts (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (2)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)', 'fire_time_from_fire_to_flowering': '12 (f)'}"
